mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,318.0,174.0,282.0,171.0,266.0,168.0,193.0,192.0,190.0,189.0,176.0,175.0,318.0,174.0,183.0,128.0,182.0,128.0,160.0,38.0,37.0,182.0,128.0,165.0,125.0,68.0,46.0,38.0,14.0,12.0,,,,25.0,17.0,14.0,,,,,,,,,,,,,,
2020-07-31,326.0,174.0,302.0,174.0,289.0,170.0,147.0,147.0,147.0,147.0,139.0,139.0,326.0,174.0,187.0,128.0,187.0,128.0,136.0,40.0,40.0,187.0,128.0,180.0,126.0,90.0,55.0,40.0,33.0,30.0,47282309.0,23173462.0,19448956.0,69.0,65.0,48.0,39.0,35.0,23.0,,,,,,,,,,,
2020-10-31,333.0,174.0,311.0,174.0,305.0,172.0,147.0,147.0,147.0,147.0,140.0,140.0,333.0,174.0,190.0,129.0,189.0,128.0,138.0,42.0,41.0,189.0,128.0,184.0,126.0,104.0,64.0,41.0,40.0,40.0,47487130.0,28316509.0,20785850.0,92.0,91.0,86.0,57.0,56.0,51.0,,,,,,,,,,,
2020-11-30,331.0,174.0,311.0,174.0,305.0,172.0,147.0,147.0,147.0,147.0,140.0,140.0,331.0,174.0,194.0,131.0,191.0,129.0,138.0,43.0,43.0,191.0,129.0,184.0,126.0,105.0,65.0,42.0,41.0,40.0,47850996.0,29890189.0,26629219.0,98.0,94.0,90.0,61.0,58.0,54.0,,,,,,,,,,,
2020-12-31,320.0,174.0,311.0,174.0,305.0,172.0,147.0,147.0,147.0,147.0,140.0,140.0,320.0,174.0,194.0,131.0,193.0,130.0,138.0,46.0,44.0,193.0,130.0,186.0,126.0,113.0,68.0,44.0,41.0,41.0,48142154.0,30500859.0,27008935.0,102.0,99.0,97.0,63.0,64.0,60.0,,,,,,,,,,,
2021-01-31,313.0,174.0,313.0,174.0,305.0,172.0,147.0,147.0,147.0,147.0,140.0,140.0,313.0,174.0,195.0,132.0,193.0,130.0,138.0,46.0,46.0,193.0,130.0,189.0,129.0,114.0,69.0,46.0,44.0,44.0,48191036.0,30598594.0,27105798.0,105.0,105.0,99.0,66.0,66.0,62.0,,,,,,,,,,,
2021-02-28,313.0,174.0,313.0,174.0,305.0,172.0,147.0,147.0,147.0,147.0,140.0,140.0,313.0,174.0,197.0,132.0,196.0,131.0,138.0,46.0,46.0,196.0,131.0,190.0,130.0,116.0,71.0,46.0,46.0,46.0,48794839.0,30820400.0,27141194.0,107.0,106.0,103.0,68.0,67.0,64.0,,,,,,,,,,,
2021-03-31,319.0,174.0,317.0,174.0,308.0,172.0,147.0,147.0,147.0,147.0,140.0,140.0,319.0,174.0,199.0,134.0,197.0,132.0,138.0,48.0,47.0,197.0,132.0,193.0,132.0,122.0,76.0,46.0,46.0,46.0,48912934.0,31282762.0,27523991.0,112.0,108.0,107.0,71.0,68.0,67.0,,,,,,,16.0,1041.0,158.0,228.0,655.0
2021-04-30,323.0,174.0,318.0,174.0,309.0,172.0,147.0,147.0,147.0,147.0,140.0,140.0,323.0,174.0,203.0,136.0,201.0,135.0,138.0,50.0,49.0,201.0,135.0,193.0,132.0,128.0,81.0,49.0,46.0,46.0,49874416.0,32593079.0,27660606.0,116.0,115.0,108.0,75.0,74.0,68.0,,,,,,,17.0,1105.0,89.0,262.0,754.0
2021-05-31,333.0,174.0,322.0,174.0,309.0,172.0,147.0,147.0,147.0,147.0,140.0,140.0,333.0,174.0,207.0,140.0,203.0,136.0,138.0,52.0,51.0,203.0,136.0,198.0,135.0,134.0,86.0,51.0,49.0,49.0,50274220.0,33725567.0,29503978.0,118.0,117.0,114.0,77.0,76.0,73.0,,,,,,,24.0,879.0,150.0,201.0,528.0
