mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,166.0,102.0,142.0,102.0,140.0,101.0,133.0,130.0,133.0,130.0,119.0,116.0,165.0,102.0,107.0,84.0,107.0,84.0,102.0,54.0,54.0,107.0,84.0,100.0,81.0,39.0,28.0,54.0,41.0,26.0,,,,9.0,8.0,5.0,,,,,,,,,,,,,,
2020-07-31,167.0,103.0,151.0,103.0,143.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,167.0,103.0,109.0,86.0,109.0,86.0,87.0,55.0,55.0,109.0,86.0,108.0,85.0,46.0,30.0,55.0,55.0,42.0,26894015.0,17342636.0,14284971.0,30.0,22.0,16.0,16.0,12.0,8.0,,,,,,,,,,,
2020-10-31,169.0,103.0,152.0,103.0,143.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,169.0,103.0,113.0,89.0,113.0,89.0,87.0,56.0,55.0,113.0,89.0,108.0,85.0,57.0,38.0,55.0,55.0,54.0,28236512.0,17993318.0,15431554.0,46.0,39.0,21.0,29.0,25.0,11.0,,,,,,,,,,,
2020-11-30,167.0,103.0,153.0,103.0,144.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,167.0,103.0,114.0,89.0,113.0,89.0,87.0,56.0,56.0,113.0,89.0,113.0,89.0,58.0,39.0,56.0,55.0,54.0,28280156.0,18830543.0,17431015.0,47.0,42.0,28.0,29.0,28.0,17.0,,,,,,,,,,,
2020-12-31,161.0,103.0,155.0,103.0,146.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,161.0,103.0,115.0,89.0,114.0,89.0,87.0,58.0,57.0,114.0,89.0,113.0,89.0,61.0,42.0,57.0,55.0,54.0,28431138.0,18920574.0,17687334.0,49.0,37.0,31.0,31.0,30.0,20.0,,,,,,,,,,,
2021-01-31,161.0,103.0,160.0,103.0,149.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,161.0,103.0,117.0,89.0,116.0,89.0,87.0,59.0,58.0,116.0,89.0,114.0,89.0,63.0,44.0,57.0,55.0,54.0,28596784.0,19123395.0,17765775.0,51.0,47.0,34.0,33.0,32.0,21.0,,,,,,,,,,,
2021-02-28,173.0,103.0,166.0,102.0,152.0,102.0,103.0,103.0,103.0,103.0,103.0,103.0,173.0,103.0,119.0,89.0,118.0,89.0,87.0,59.0,59.0,118.0,89.0,115.0,89.0,67.0,48.0,59.0,56.0,54.0,28834471.0,19210064.0,17869660.0,50.0,47.0,36.0,32.0,31.0,21.0,,,,,,,,,,,
2021-03-31,174.0,103.0,166.0,102.0,154.0,102.0,103.0,103.0,103.0,103.0,103.0,103.0,174.0,103.0,121.0,91.0,120.0,90.0,87.0,59.0,59.0,120.0,90.0,118.0,89.0,69.0,50.0,59.0,58.0,57.0,28997452.0,19926240.0,18112771.0,55.0,53.0,40.0,37.0,35.0,25.0,,,,,,,17.0,585.0,115.0,134.0,336.0
2021-04-30,178.0,103.0,171.0,103.0,154.0,102.0,103.0,103.0,103.0,103.0,103.0,103.0,178.0,103.0,120.0,91.0,120.0,91.0,88.0,60.0,59.0,120.0,91.0,119.0,91.0,69.0,50.0,59.0,59.0,57.0,28950296.0,22202517.0,18159481.0,55.0,54.0,45.0,37.0,36.0,30.0,,,,,,,19.0,660.0,94.0,172.0,394.0
2021-05-31,183.0,103.0,176.0,103.0,161.0,102.0,103.0,103.0,103.0,103.0,103.0,103.0,183.0,103.0,122.0,92.0,120.0,91.0,88.0,60.0,60.0,120.0,91.0,118.0,91.0,74.0,55.0,60.0,59.0,58.0,28962049.0,22235894.0,18301791.0,58.0,56.0,48.0,39.0,38.0,33.0,,,,,,,22.0,560.0,142.0,159.0,259.0
