mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,263.0,263.0,107.0,107.0,104.0,104.0,373.0,373.0,364.0,364.0,165.0,165.0,263.0,263.0,2.0,2.0,0.0,,196.0,7.0,5.0,,,,,,,7.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
2020-07-31,238.0,238.0,238.0,238.0,137.0,137.0,373.0,373.0,373.0,373.0,348.0,348.0,238.0,238.0,7.0,7.0,5.0,5.0,193.0,8.0,8.0,5.0,5.0,2.0,2.0,,,8.0,8.0,5.0,430476.0,,,,,,,,,,,,,,,,,,,
2020-10-31,238.0,238.0,238.0,238.0,159.0,159.0,373.0,373.0,373.0,373.0,348.0,348.0,238.0,238.0,18.0,18.0,11.0,11.0,193.0,15.0,9.0,11.0,11.0,11.0,11.0,2.0,2.0,9.0,8.0,8.0,772236.0,91352.0,47727.0,2.0,2.0,,2.0,2.0,,,,,,,,,,,,
2020-11-30,238.0,238.0,238.0,238.0,159.0,159.0,373.0,373.0,373.0,373.0,348.0,348.0,238.0,238.0,22.0,22.0,14.0,14.0,193.0,17.0,14.0,14.0,14.0,13.0,13.0,3.0,3.0,14.0,10.0,8.0,1025959.0,423088.0,323008.0,,,,,,,,,,,,,,,,,
2020-12-31,238.0,238.0,238.0,238.0,160.0,160.0,373.0,373.0,373.0,373.0,348.0,348.0,238.0,238.0,26.0,26.0,20.0,20.0,193.0,25.0,22.0,20.0,20.0,16.0,16.0,6.0,6.0,21.0,16.0,8.0,1521043.0,560604.0,418890.0,5.0,2.0,2.0,5.0,3.0,2.0,,,,,,,,,,,
2021-01-31,238.0,238.0,238.0,238.0,160.0,160.0,373.0,373.0,373.0,373.0,348.0,348.0,238.0,238.0,27.0,27.0,22.0,22.0,193.0,31.0,27.0,22.0,22.0,20.0,20.0,9.0,9.0,27.0,22.0,12.0,1751443.0,701917.0,536659.0,6.0,3.0,2.0,6.0,3.0,2.0,,,,,,,,,,,
2021-02-28,238.0,238.0,238.0,238.0,160.0,160.0,373.0,373.0,373.0,373.0,348.0,348.0,238.0,238.0,32.0,32.0,29.0,29.0,193.0,37.0,36.0,29.0,29.0,29.0,29.0,14.0,14.0,36.0,28.0,17.0,2334407.0,1111552.0,780695.0,11.0,8.0,4.0,11.0,8.0,4.0,,,,,,,,,,,
2021-03-31,239.0,238.0,239.0,238.0,163.0,162.0,373.0,373.0,373.0,373.0,365.0,365.0,239.0,238.0,38.0,37.0,35.0,34.0,193.0,39.0,39.0,35.0,34.0,34.0,34.0,20.0,20.0,39.0,36.0,22.0,2603567.0,1503863.0,1103406.0,15.0,12.0,7.0,15.0,12.0,7.0,,,,,,,,,,,
2021-04-30,239.0,238.0,239.0,238.0,165.0,164.0,373.0,373.0,373.0,373.0,365.0,365.0,239.0,238.0,46.0,45.0,42.0,41.0,194.0,46.0,39.0,42.0,41.0,37.0,37.0,26.0,26.0,39.0,39.0,29.0,2957045.0,2567502.0,1590878.0,21.0,18.0,13.0,21.0,18.0,13.0,,,,,,,,,,,
2021-05-31,239.0,238.0,239.0,238.0,169.0,168.0,373.0,373.0,373.0,373.0,365.0,365.0,239.0,238.0,53.0,52.0,50.0,49.0,195.0,54.0,46.0,50.0,49.0,44.0,44.0,32.0,32.0,46.0,40.0,38.0,3464115.0,3300179.0,2071898.0,26.0,23.0,20.0,26.0,23.0,20.0,,,,,,,,,,,
