mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,602.0,423.0,497.0,362.0,488.0,361.0,548.0,546.0,483.0,481.0,457.0,455.0,578.0,432.0,248.0,180.0,248.0,180.0,294.0,91.0,90.0,248.0,180.0,229.0,173.0,68.0,44.0,91.0,80.0,67.0,,,,18.0,3.0,2.0,,,,,,,,,,,,,,
2020-07-31,609.0,449.0,569.0,449.0,502.0,394.0,525.0,525.0,473.0,473.0,453.0,453.0,609.0,449.0,259.0,186.0,259.0,186.0,262.0,98.0,98.0,259.0,186.0,253.0,183.0,85.0,52.0,95.0,92.0,70.0,71185933.0,47543793.0,36241683.0,59.0,39.0,5.0,31.0,20.0,2.0,,,,,,,,,,,
2020-10-31,613.0,449.0,572.0,449.0,506.0,394.0,525.0,525.0,473.0,473.0,453.0,453.0,613.0,449.0,264.0,187.0,263.0,186.0,262.0,100.0,98.0,263.0,186.0,257.0,183.0,112.0,72.0,95.0,95.0,83.0,71449264.0,52578913.0,38944576.0,84.0,73.0,26.0,46.0,41.0,13.0,,,,,,,,,,,
2020-11-30,595.0,449.0,577.0,449.0,508.0,394.0,525.0,525.0,473.0,473.0,453.0,453.0,595.0,449.0,271.0,191.0,265.0,187.0,262.0,102.0,101.0,265.0,187.0,263.0,186.0,130.0,88.0,100.0,95.0,85.0,71950009.0,54694003.0,44683783.0,97.0,77.0,34.0,56.0,44.0,19.0,,,,,,,,,,,
2020-12-31,588.0,449.0,580.0,449.0,512.0,394.0,525.0,525.0,473.0,473.0,453.0,453.0,588.0,449.0,277.0,195.0,273.0,191.0,264.0,111.0,106.0,273.0,191.0,264.0,187.0,140.0,95.0,105.0,99.0,86.0,73177766.0,56573486.0,46598097.0,112.0,78.0,58.0,69.0,53.0,34.0,,,,,,,,,,,
2021-01-31,583.0,449.0,583.0,449.0,514.0,394.0,525.0,525.0,487.0,487.0,453.0,453.0,583.0,449.0,289.0,202.0,283.0,197.0,264.0,113.0,113.0,283.0,197.0,276.0,193.0,153.0,103.0,113.0,102.0,87.0,74551158.0,57104190.0,47077815.0,114.0,93.0,60.0,71.0,56.0,35.0,,,,,,,,,,,
2021-02-28,602.0,449.0,595.0,449.0,523.0,394.0,525.0,525.0,525.0,525.0,505.0,505.0,602.0,449.0,299.0,208.0,291.0,201.0,281.0,116.0,114.0,291.0,201.0,284.0,198.0,161.0,109.0,114.0,112.0,96.0,75410530.0,57634930.0,47951035.0,120.0,109.0,75.0,72.0,66.0,42.0,,,,,,,,,,,
2021-03-31,609.0,449.0,604.0,449.0,532.0,394.0,525.0,525.0,525.0,525.0,522.0,522.0,609.0,449.0,302.0,207.0,301.0,207.0,288.0,118.0,118.0,301.0,207.0,297.0,207.0,178.0,124.0,116.0,115.0,103.0,76612293.0,57514758.0,48951858.0,137.0,120.0,84.0,86.0,74.0,48.0,,,,,,,26.0,4696.0,853.0,1590.0,2253.0
2021-04-30,627.0,449.0,611.0,449.0,527.0,394.0,525.0,525.0,525.0,525.0,522.0,522.0,627.0,449.0,297.0,208.0,297.0,208.0,288.0,123.0,120.0,297.0,208.0,295.0,208.0,181.0,124.0,120.0,118.0,107.0,76076130.0,62180597.0,49789892.0,141.0,126.0,92.0,89.0,79.0,54.0,,,,,,,28.0,5100.0,715.0,1761.0,2624.0
2021-05-31,645.0,449.0,630.0,449.0,537.0,394.0,525.0,525.0,525.0,525.0,522.0,522.0,645.0,449.0,299.0,210.0,299.0,210.0,288.0,126.0,123.0,299.0,210.0,297.0,208.0,194.0,130.0,123.0,120.0,108.0,76578070.0,64525175.0,51697190.0,151.0,136.0,104.0,94.0,86.0,61.0,,,,,,,33.0,3353.0,749.0,1007.0,1597.0
