mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,471.0,236.0,344.0,223.0,341.0,221.0,342.0,340.0,339.0,338.0,311.0,310.0,465.0,236.0,237.0,180.0,236.0,180.0,410.0,159.0,154.0,136.0,180.0,184.0,142.0,40.0,27.0,159.0,124.0,99.0,,,,9.0,5.0,4.0,,,,,,,,,,,,,,
2020-07-31,472.0,242.0,376.0,242.0,348.0,229.0,330.0,330.0,330.0,330.0,300.0,300.0,472.0,242.0,255.0,188.0,250.0,185.0,378.0,164.0,164.0,245.0,183.0,215.0,163.0,50.0,31.0,163.0,158.0,120.0,175873956.0,95436076.0,68962269.0,34.0,29.0,11.0,18.0,15.0,5.0,,,,,,,,,,,
2020-10-31,472.0,242.0,377.0,242.0,350.0,229.0,330.0,330.0,330.0,330.0,300.0,300.0,472.0,242.0,262.0,193.0,255.0,188.0,378.0,177.0,170.0,255.0,188.0,223.0,164.0,77.0,46.0,170.0,170.0,147.0,178648150.0,101090673.0,72460956.0,55.0,46.0,35.0,31.0,25.0,19.0,,,,,,,,,,,
2020-11-30,449.0,242.0,377.0,242.0,350.0,229.0,330.0,330.0,330.0,330.0,300.0,300.0,449.0,242.0,263.0,193.0,259.0,189.0,378.0,180.0,173.0,258.0,189.0,227.0,164.0,81.0,49.0,173.0,170.0,151.0,179528795.0,103687715.0,91493624.0,63.0,53.0,42.0,37.0,30.0,22.0,,,,,,,,,,,
2020-12-31,429.0,242.0,377.0,242.0,350.0,229.0,330.0,330.0,330.0,330.0,300.0,300.0,429.0,242.0,264.0,194.0,261.0,191.0,378.0,199.0,181.0,261.0,191.0,228.0,164.0,93.0,54.0,181.0,175.0,161.0,180738203.0,105430174.0,93839084.0,79.0,60.0,54.0,47.0,35.0,30.0,,,,,,,,,,,
2021-01-31,416.0,242.0,416.0,242.0,356.0,229.0,330.0,330.0,330.0,330.0,300.0,300.0,416.0,242.0,267.0,197.0,262.0,192.0,378.0,202.0,193.0,261.0,191.0,237.0,171.0,94.0,55.0,192.0,175.0,163.0,181290359.0,105959069.0,94367979.0,76.0,71.0,59.0,44.0,41.0,32.0,,,,,,,,,,,
2021-02-28,417.0,242.0,416.0,242.0,362.0,229.0,330.0,330.0,330.0,330.0,313.0,313.0,417.0,242.0,270.0,199.0,262.0,192.0,399.0,202.0,200.0,262.0,192.0,242.0,176.0,94.0,55.0,200.0,190.0,166.0,182079900.0,106134755.0,94543665.0,74.0,74.0,66.0,43.0,43.0,38.0,,,,,,,,,,,
2021-03-31,429.0,242.0,417.0,242.0,371.0,230.0,330.0,330.0,330.0,330.0,316.0,316.0,429.0,242.0,270.0,198.0,270.0,198.0,400.0,206.0,204.0,270.0,198.0,256.0,186.0,98.0,56.0,204.0,199.0,176.0,186088142.0,108596817.0,96116626.0,83.0,77.0,74.0,48.0,45.0,43.0,,,,,,,27.0,2952.0,910.0,540.0,1502.0
2021-04-30,436.0,242.0,419.0,242.0,373.0,230.0,330.0,330.0,330.0,330.0,316.0,316.0,436.0,242.0,277.0,199.0,275.0,198.0,400.0,212.0,206.0,272.0,198.0,260.0,190.0,102.0,60.0,206.0,205.0,182.0,186614668.0,114875679.0,96832245.0,85.0,81.0,75.0,51.0,47.0,43.0,,,,,,,29.0,3213.0,806.0,672.0,1735.0
2021-05-31,438.0,242.0,424.0,242.0,378.0,231.0,330.0,330.0,330.0,330.0,316.0,316.0,438.0,242.0,283.0,202.0,278.0,199.0,400.0,213.0,211.0,278.0,199.0,270.0,196.0,109.0,65.0,210.0,209.0,187.0,187749347.0,118982824.0,97478824.0,86.0,85.0,79.0,52.0,51.0,46.0,,,,,,,36.0,2556.0,963.0,520.0,1073.0
2021-06-30,444.0,242.0,426.0,242.0,385.0,232.0,330.0,330.0,330.0,330.0,316.0,316.0,444.0,242.0,287.0,204.0,284.0,201.0,400.0,214.0,213.0,284.0,201.0,274.0,196.0,114.0,67.0,213.0,213.0,192.0,189639122.0,120780805.0,107667947.0,89.0,89.0,82.0,54.0,54.0,48.0,,,,,,,41.0,2833.0,876.0,642.0,1315.0
2021-07-31,446.0,242.0,427.0,242.0,387.0,232.0,330.0,330.0,330.0,330.0,316.0,316.0,446.0,242.0,288.0,203.0,288.0,203.0,400.0,218.0,218.0,288.0,203.0,277.0,198.0,130.0,80.0,218.0,213.0,198.0,190722447.0,124718719.0,109448222.0,100.0,95.0,88.0,60.0,57.0,53.0,,,,,,,42.0,4286.0,824.0,1016.0,2446.0
2021-08-31,448.0,242.0,428.0,242.0,387.0,232.0,330.0,330.0,330.0,330.0,316.0,316.0,448.0,242.0,296.0,208.0,291.0,205.0,400.0,220.0,218.0,291.0,205.0,282.0,200.0,133.0,83.0,218.0,217.0,200.0,192407921.0,126982369.0,109565240.0,99.0,96.0,88.0,60.0,58.0,53.0,,,,,,,45.0,4503.0,686.0,1154.0,2663.0
2021-09-30,452.0,242.0,432.0,242.0,392.0,233.0,330.0,330.0,330.0,330.0,316.0,316.0,452.0,242.0,307.0,211.0,301.0,208.0,400.0,224.0,221.0,301.0,208.0,284.0,200.0,144.0,90.0,221.0,218.0,203.0,195480539.0,130552757.0,112108077.0,108.0,99.0,95.0,65.0,61.0,57.0,,,,,,,48.0,4672.0,670.0,1236.0,2766.0
2021-10-31,470.0,242.0,434.0,242.0,396.0,233.0,330.0,330.0,330.0,330.0,316.0,316.0,470.0,242.0,311.0,212.0,309.0,211.0,400.0,227.0,226.0,309.0,211.0,290.0,203.0,154.0,98.0,226.0,222.0,210.0,198635921.0,135320171.0,114313363.0,116.0,108.0,96.0,71.0,65.0,58.0,,,,,,,50.0,5114.0,812.0,1367.0,2935.0
2021-11-30,471.0,242.0,439.0,242.0,398.0,234.0,330.0,330.0,330.0,330.0,316.0,316.0,471.0,242.0,316.0,211.0,311.0,211.0,400.0,228.0,226.0,311.0,211.0,293.0,205.0,154.0,98.0,226.0,226.0,210.0,199056948.0,136544571.0,115875709.0,112.0,109.0,101.0,68.0,66.0,61.0,,,,,,,51.0,5527.0,861.0,1531.0,3135.0
2021-12-31,473.0,242.0,444.0,242.0,407.0,234.0,330.0,330.0,330.0,330.0,316.0,316.0,473.0,242.0,335.0,215.0,325.0,211.0,400.0,232.0,230.0,325.0,211.0,298.0,207.0,168.0,108.0,230.0,226.0,216.0,200646210.0,141579232.0,,121.0,114.0,109.0,75.0,69.0,66.0,,,,,,,52.0,5947.0,920.0,1700.0,3327.0
2022-01-31,476.0,244.0,449.0,241.0,416.0,235.0,330.0,330.0,330.0,330.0,316.0,316.0,476.0,244.0,348.0,218.0,338.0,213.0,400.0,232.0,231.0,336.0,212.0,299.0,207.0,177.0,114.0,231.0,230.0,218.0,203252532.0,143903019.0,126933289.0,119.0,114.0,111.0,73.0,70.0,67.0,,,,,,,53.0,6338.0,940.0,1872.0,3526.0
2022-02-28,481.0,242.0,449.0,241.0,418.0,235.0,330.0,330.0,330.0,330.0,316.0,316.0,481.0,242.0,355.0,219.0,351.0,217.0,399.0,232.0,232.0,351.0,217.0,308.0,207.0,183.0,120.0,232.0,231.0,219.0,211175197.0,147056281.0,128148323.0,126.0,117.0,112.0,78.0,72.0,68.0,,,,,,,53.0,6873.0,1106.0,2095.0,3672.0
2022-03-31,479.0,242.0,454.0,241.0,423.0,237.0,330.0,330.0,330.0,330.0,316.0,316.0,479.0,242.0,362.0,222.0,356.0,218.0,399.0,232.0,232.0,356.0,218.0,321.0,207.0,196.0,127.0,232.0,232.0,222.0,212979169.0,150441114.0,132311664.0,125.0,120.0,113.0,77.0,73.0,69.0,,,,,,,57.0,7387.0,1118.0,2305.0,3964.0
2022-04-30,485.0,242.0,464.0,242.0,431.0,237.0,330.0,330.0,330.0,330.0,316.0,316.0,485.0,242.0,373.0,223.0,368.0,221.0,399.0,235.0,232.0,368.0,221.0,322.0,207.0,200.0,129.0,232.0,232.0,224.0,220352464.0,153624745.0,136129522.0,130.0,122.0,119.0,79.0,75.0,73.0,,,,,,,55.0,8069.0,1097.0,2617.0,4355.0
2022-05-31,489.0,242.0,477.0,242.0,446.0,238.0,330.0,330.0,330.0,330.0,316.0,316.0,489.0,242.0,382.0,222.0,375.0,222.0,398.0,236.0,235.0,375.0,222.0,332.0,214.0,208.0,133.0,235.0,231.0,225.0,222786830.0,156974393.0,138531841.0,132.0,125.0,122.0,80.0,77.0,75.0,,,,,,,57.0,8618.0,1066.0,2845.0,4707.0
