mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,311.0,182.0,254.0,180.0,249.0,180.0,217.0,216.0,206.0,205.0,202.0,201.0,311.0,182.0,169.0,109.0,167.0,107.0,141.0,56.0,56.0,167.0,107.0,151.0,99.0,45.0,33.0,56.0,53.0,44.0,,,,9.0,9.0,7.0,,,,,,,,,,,,,,
2020-07-31,317.0,182.0,268.0,182.0,263.0,180.0,197.0,197.0,188.0,188.0,188.0,188.0,317.0,182.0,174.0,109.0,174.0,109.0,130.0,58.0,58.0,174.0,109.0,158.0,103.0,72.0,39.0,58.0,55.0,54.0,44092846.0,26877266.0,15773671.0,53.0,44.0,25.0,27.0,23.0,12.0,,,,,,,,,,,
2020-10-31,320.0,182.0,284.0,182.0,278.0,180.0,197.0,197.0,188.0,188.0,188.0,188.0,320.0,182.0,189.0,112.0,187.0,111.0,131.0,66.0,66.0,187.0,111.0,165.0,106.0,96.0,54.0,66.0,64.0,59.0,45306550.0,32699362.0,18087723.0,78.0,71.0,66.0,41.0,36.0,33.0,,,,,,,,,,,
2020-11-30,305.0,182.0,284.0,182.0,279.0,180.0,197.0,197.0,188.0,188.0,188.0,188.0,305.0,182.0,201.0,120.0,191.0,112.0,131.0,66.0,66.0,189.0,112.0,168.0,107.0,107.0,61.0,66.0,65.0,62.0,45846499.0,33849560.0,26968324.0,88.0,82.0,72.0,47.0,43.0,37.0,,,,,,,,,,,
2020-12-31,298.0,182.0,285.0,182.0,279.0,180.0,197.0,197.0,188.0,188.0,188.0,188.0,298.0,182.0,206.0,123.0,193.0,112.0,131.0,68.0,66.0,193.0,112.0,175.0,108.0,120.0,67.0,66.0,66.0,64.0,46193334.0,35448523.0,29032824.0,110.0,91.0,88.0,57.0,48.0,48.0,,,,,,,,,,,
2021-01-31,291.0,182.0,291.0,182.0,281.0,180.0,197.0,197.0,190.0,190.0,188.0,188.0,291.0,182.0,207.0,125.0,202.0,120.0,132.0,70.0,69.0,202.0,120.0,179.0,112.0,123.0,69.0,69.0,66.0,64.0,48317258.0,35886428.0,29289573.0,110.0,97.0,94.0,57.0,51.0,50.0,,,,,,,,,,,
2021-02-28,299.0,182.0,290.0,182.0,282.0,180.0,197.0,197.0,197.0,197.0,188.0,188.0,299.0,182.0,214.0,129.0,210.0,127.0,132.0,71.0,70.0,210.0,127.0,197.0,116.0,129.0,74.0,70.0,68.0,64.0,50000187.0,37574306.0,29635187.0,111.0,108.0,99.0,57.0,56.0,51.0,,,,,,,,,,,
2021-03-31,324.0,182.0,296.0,182.0,285.0,180.0,197.0,197.0,197.0,197.0,194.0,194.0,324.0,182.0,217.0,130.0,215.0,129.0,132.0,72.0,71.0,215.0,129.0,210.0,127.0,140.0,79.0,71.0,70.0,65.0,50846951.0,39143328.0,30793150.0,122.0,116.0,108.0,63.0,60.0,56.0,,,,,,,23.0,1595.0,585.0,294.0,716.0
2021-04-30,324.0,182.0,297.0,182.0,289.0,180.0,197.0,197.0,197.0,197.0,194.0,194.0,324.0,182.0,222.0,130.0,222.0,130.0,132.0,74.0,73.0,222.0,130.0,214.0,129.0,151.0,84.0,73.0,70.0,67.0,51336442.0,42833237.0,32108527.0,135.0,122.0,114.0,69.0,63.0,59.0,,,,,,,25.0,1769.0,539.0,341.0,889.0
2021-05-31,325.0,182.0,300.0,182.0,289.0,180.0,197.0,197.0,197.0,197.0,194.0,194.0,325.0,182.0,224.0,130.0,222.0,130.0,132.0,78.0,73.0,222.0,130.0,217.0,129.0,163.0,90.0,73.0,72.0,68.0,51336442.0,46437483.0,34945700.0,143.0,129.0,124.0,76.0,68.0,63.0,,,,,,,32.0,1601.0,600.0,246.0,755.0
