mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,504.0,309.0,444.0,304.0,440.0,304.0,372.0,369.0,368.0,365.0,357.0,354.0,484.0,309.0,219.0,176.0,217.0,176.0,259.0,97.0,95.0,217.0,176.0,203.0,175.0,65.0,45.0,97.0,71.0,70.0,,,,17.0,3.0,2.0,,,,,,,,,,,,,,
2020-07-31,534.0,329.0,496.0,329.0,481.0,324.0,358.0,358.0,354.0,354.0,346.0,346.0,534.0,329.0,227.0,178.0,225.0,177.0,246.0,99.0,99.0,225.0,177.0,223.0,176.0,79.0,54.0,99.0,96.0,70.0,88359843.0,60208586.0,46988273.0,50.0,41.0,18.0,28.0,20.0,8.0,,,,,,,,,,,
2020-10-31,535.0,329.0,496.0,329.0,482.0,325.0,358.0,358.0,354.0,354.0,348.0,348.0,535.0,329.0,227.0,178.0,227.0,178.0,247.0,103.0,103.0,227.0,178.0,225.0,177.0,108.0,76.0,101.0,99.0,83.0,89836796.0,64174869.0,49651186.0,66.0,62.0,37.0,42.0,39.0,20.0,,,,,,,,,,,
2020-11-30,517.0,329.0,497.0,329.0,482.0,325.0,358.0,358.0,354.0,354.0,348.0,348.0,517.0,329.0,229.0,179.0,228.0,178.0,247.0,104.0,103.0,228.0,178.0,226.0,178.0,116.0,80.0,103.0,100.0,87.0,90006424.0,70603299.0,60362884.0,78.0,67.0,48.0,53.0,44.0,27.0,,,,,,,,,,,
2020-12-31,505.0,329.0,499.0,329.0,482.0,325.0,358.0,358.0,354.0,354.0,348.0,348.0,505.0,329.0,230.0,179.0,230.0,179.0,247.0,107.0,105.0,230.0,179.0,227.0,178.0,121.0,84.0,105.0,102.0,88.0,90234327.0,71515503.0,60713373.0,90.0,76.0,66.0,64.0,57.0,43.0,,,,,,,,,,,
2021-01-31,499.0,329.0,499.0,329.0,483.0,325.0,358.0,358.0,355.0,355.0,348.0,348.0,499.0,329.0,231.0,180.0,230.0,179.0,247.0,107.0,107.0,230.0,179.0,228.0,178.0,122.0,85.0,107.0,104.0,89.0,90334696.0,71776645.0,61095111.0,91.0,84.0,69.0,64.0,59.0,46.0,,,,,,,,,,,
2021-02-28,499.0,329.0,499.0,329.0,483.0,325.0,358.0,358.0,358.0,358.0,348.0,348.0,499.0,329.0,234.0,180.0,232.0,179.0,247.0,111.0,107.0,231.0,179.0,230.0,179.0,124.0,87.0,107.0,106.0,95.0,90366394.0,72581782.0,61853446.0,100.0,94.0,79.0,69.0,66.0,54.0,,,,,,,,,,,
2021-03-31,501.0,329.0,501.0,329.0,489.0,325.0,358.0,358.0,358.0,358.0,348.0,348.0,501.0,329.0,235.0,181.0,234.0,180.0,247.0,112.0,111.0,234.0,180.0,232.0,179.0,134.0,95.0,111.0,106.0,96.0,91348479.0,73429998.0,62549409.0,113.0,105.0,91.0,80.0,74.0,62.0,,,,,,,25.0,3672.0,618.0,815.0,2239.0
2021-04-30,516.0,329.0,514.0,329.0,492.0,325.0,358.0,358.0,358.0,358.0,348.0,348.0,516.0,329.0,235.0,181.0,234.0,180.0,247.0,117.0,112.0,234.0,180.0,234.0,180.0,141.0,101.0,112.0,111.0,100.0,91398663.0,76019334.0,63473552.0,117.0,111.0,95.0,84.0,79.0,66.0,,,,,,,28.0,3802.0,482.0,901.0,2419.0
2021-05-31,530.0,329.0,518.0,329.0,494.0,325.0,358.0,358.0,358.0,358.0,348.0,348.0,530.0,329.0,238.0,183.0,238.0,183.0,247.0,118.0,116.0,238.0,183.0,235.0,181.0,146.0,106.0,116.0,111.0,103.0,92137145.0,77018519.0,65185036.0,122.0,117.0,104.0,89.0,85.0,73.0,,,,,,,34.0,2533.0,666.0,497.0,1370.0
