mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,284.0,201.0,226.0,194.0,221.0,190.0,238.0,235.0,224.0,221.0,206.0,203.0,284.0,201.0,104.0,93.0,101.0,91.0,230.0,38.0,38.0,101.0,91.0,95.0,86.0,6.0,5.0,38.0,28.0,23.0,,,,,,,,,,,,,,,,,,,,
2020-07-31,286.0,201.0,246.0,201.0,228.0,194.0,228.0,228.0,216.0,216.0,207.0,207.0,286.0,201.0,109.0,97.0,106.0,95.0,207.0,44.0,43.0,106.0,95.0,106.0,95.0,10.0,7.0,43.0,41.0,33.0,30518562.0,11892042.0,8326663.0,5.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
2020-10-31,290.0,201.0,250.0,201.0,236.0,197.0,228.0,228.0,216.0,216.0,207.0,207.0,290.0,201.0,109.0,96.0,109.0,96.0,207.0,56.0,54.0,109.0,96.0,107.0,96.0,12.0,8.0,54.0,45.0,42.0,31508121.0,12782172.0,8835815.0,8.0,5.0,5.0,4.0,2.0,2.0,,,,,,,,,,,
2020-11-30,275.0,201.0,250.0,201.0,236.0,197.0,228.0,228.0,216.0,216.0,207.0,207.0,275.0,201.0,110.0,97.0,109.0,96.0,208.0,59.0,58.0,109.0,96.0,108.0,96.0,12.0,8.0,57.0,49.0,42.0,31588620.0,13403749.0,12595159.0,11.0,9.0,5.0,7.0,5.0,2.0,,,,,,,,,,,
2020-12-31,259.0,201.0,250.0,201.0,236.0,197.0,228.0,228.0,216.0,216.0,207.0,207.0,259.0,201.0,110.0,97.0,110.0,97.0,208.0,64.0,59.0,110.0,97.0,108.0,96.0,14.0,10.0,59.0,53.0,42.0,31764226.0,14267170.0,12595159.0,11.0,11.0,6.0,7.0,7.0,3.0,,,,,,,,,,,
2021-01-31,248.0,201.0,248.0,201.0,239.0,199.0,228.0,228.0,228.0,228.0,211.0,211.0,248.0,201.0,112.0,99.0,110.0,97.0,209.0,65.0,64.0,110.0,97.0,109.0,96.0,15.0,11.0,64.0,57.0,45.0,31965472.0,14449613.0,12801150.0,12.0,11.0,9.0,8.0,7.0,6.0,,,,,,,,,,,
2021-02-28,248.0,201.0,248.0,201.0,239.0,199.0,228.0,228.0,228.0,228.0,214.0,214.0,248.0,201.0,111.0,98.0,110.0,97.0,210.0,66.0,65.0,110.0,97.0,110.0,97.0,18.0,14.0,65.0,57.0,50.0,31929895.0,14722552.0,12868414.0,11.0,11.0,10.0,7.0,7.0,6.0,,,,,,,,,,,
2021-03-31,248.0,201.0,248.0,201.0,239.0,199.0,228.0,228.0,228.0,228.0,214.0,214.0,248.0,201.0,117.0,99.0,116.0,98.0,210.0,68.0,67.0,116.0,98.0,110.0,97.0,26.0,21.0,67.0,65.0,50.0,32506378.0,14690036.0,13095202.0,16.0,12.0,10.0,11.0,8.0,6.0,,,,,,,6.0,12.0,4.0,2.0,6.0
2021-04-30,248.0,201.0,248.0,201.0,239.0,199.0,228.0,228.0,228.0,228.0,214.0,214.0,248.0,201.0,121.0,103.0,117.0,99.0,210.0,72.0,71.0,117.0,99.0,112.0,98.0,28.0,23.0,70.0,66.0,58.0,33408712.0,15739776.0,13095202.0,16.0,16.0,11.0,11.0,11.0,7.0,,,,,,,6.0,14.0,3.0,3.0,8.0
2021-05-31,257.0,201.0,248.0,201.0,239.0,199.0,228.0,228.0,228.0,228.0,214.0,214.0,257.0,201.0,127.0,109.0,117.0,99.0,210.0,76.0,72.0,117.0,99.0,113.0,99.0,32.0,27.0,72.0,66.0,60.0,33489211.0,16378266.0,13097599.0,17.0,15.0,11.0,12.0,10.0,7.0,,,,,,,8.0,22.0,11.0,4.0,7.0
2021-06-30,263.0,201.0,248.0,201.0,240.0,200.0,228.0,228.0,228.0,228.0,214.0,214.0,263.0,201.0,128.0,110.0,119.0,101.0,210.0,76.0,76.0,119.0,101.0,113.0,99.0,36.0,29.0,76.0,68.0,64.0,34368240.0,17424531.0,16295013.0,17.0,16.0,14.0,12.0,11.0,9.0,,,,,,,8.0,23.0,12.0,4.0,7.0
2021-07-31,264.0,201.0,252.0,201.0,240.0,200.0,228.0,228.0,228.0,228.0,218.0,218.0,264.0,201.0,123.0,105.0,120.0,102.0,211.0,82.0,78.0,120.0,102.0,115.0,101.0,38.0,31.0,78.0,70.0,65.0,34676418.0,18586235.0,16680195.0,21.0,16.0,14.0,16.0,11.0,9.0,,,,,,,9.0,29.0,16.0,5.0,8.0
2021-08-31,265.0,201.0,254.0,201.0,242.0,200.0,228.0,228.0,228.0,228.0,218.0,218.0,265.0,201.0,128.0,110.0,120.0,102.0,211.0,85.0,82.0,120.0,102.0,115.0,101.0,39.0,32.0,82.0,70.0,65.0,34837415.0,19490103.0,16785273.0,19.0,16.0,14.0,14.0,11.0,9.0,,,,,,,10.0,37.0,20.0,8.0,9.0
2021-09-30,265.0,201.0,257.0,201.0,244.0,200.0,228.0,228.0,228.0,228.0,218.0,218.0,265.0,201.0,131.0,113.0,122.0,104.0,212.0,90.0,83.0,122.0,104.0,116.0,102.0,41.0,34.0,83.0,76.0,70.0,35805792.0,19865098.0,16862567.0,22.0,17.0,15.0,17.0,12.0,10.0,,,,,,,11.0,40.0,23.0,8.0,9.0
2021-10-31,265.0,201.0,257.0,201.0,247.0,200.0,228.0,228.0,228.0,228.0,218.0,218.0,265.0,201.0,137.0,118.0,124.0,106.0,212.0,95.0,89.0,123.0,105.0,116.0,102.0,48.0,41.0,86.0,78.0,72.0,36159621.0,20406279.0,17364641.0,24.0,20.0,15.0,18.0,15.0,10.0,,,,,,,12.0,55.0,33.0,12.0,10.0
2021-11-30,267.0,201.0,261.0,201.0,248.0,200.0,228.0,228.0,228.0,228.0,218.0,218.0,267.0,201.0,142.0,119.0,128.0,110.0,212.0,100.0,90.0,128.0,110.0,122.0,104.0,48.0,41.0,90.0,79.0,76.0,39293548.0,20760154.0,17731927.0,26.0,24.0,16.0,20.0,18.0,11.0,,,,,,,11.0,64.0,37.0,17.0,10.0
