mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,1507.0,1143.0,1183.0,1008.0,1142.0,969.0,1514.0,1514.0,1512.0,1512.0,921.0,921.0,1502.0,1143.0,485.0,393.0,481.0,390.0,575.0,203.0,199.0,481.0,390.0,314.0,268.0,103.0,71.0,203.0,118.0,107.0,,,,27.0,10.0,7.0,,,,,,,,,,,,,,
2020-07-31,1547.0,1147.0,1390.0,1147.0,1200.0,994.0,1312.0,1312.0,1312.0,1312.0,1099.0,1099.0,1547.0,1147.0,523.0,407.0,519.0,406.0,482.0,209.0,209.0,516.0,405.0,348.0,287.0,134.0,88.0,209.0,205.0,159.0,174125805.0,70116913.0,54515361.0,92.0,64.0,38.0,48.0,32.0,15.0,,,,,,,,,,,
2020-10-31,1551.0,1147.0,1398.0,1147.0,1224.0,1014.0,1312.0,1312.0,1312.0,1312.0,1103.0,1103.0,1551.0,1147.0,546.0,418.0,545.0,417.0,486.0,216.0,215.0,544.0,416.0,389.0,305.0,192.0,128.0,215.0,212.0,201.0,177739922.0,84862717.0,62293960.0,140.0,130.0,95.0,81.0,74.0,49.0,,,,,,,,,,,
2020-11-30,1478.0,1147.0,1399.0,1147.0,1228.0,1016.0,1312.0,1312.0,1312.0,1312.0,1103.0,1103.0,1478.0,1147.0,551.0,421.0,549.0,420.0,486.0,219.0,218.0,549.0,420.0,414.0,321.0,205.0,140.0,217.0,214.0,210.0,179605443.0,96385651.0,84006795.0,166.0,142.0,114.0,102.0,84.0,61.0,,,,,,,,,,,
2020-12-31,1445.0,1147.0,1401.0,1147.0,1233.0,1020.0,1312.0,1312.0,1312.0,1312.0,1105.0,1105.0,1445.0,1147.0,567.0,437.0,556.0,426.0,490.0,231.0,224.0,553.0,423.0,438.0,341.0,216.0,149.0,223.0,217.0,212.0,180501227.0,98086971.0,85789694.0,183.0,148.0,144.0,117.0,96.0,87.0,,,,,,,,,,,
2021-01-31,1418.0,1147.0,1418.0,1147.0,1238.0,1024.0,1312.0,1312.0,1312.0,1312.0,1105.0,1105.0,1418.0,1147.0,591.0,460.0,562.0,431.0,490.0,234.0,233.0,562.0,431.0,468.0,359.0,228.0,156.0,232.0,223.0,214.0,183272265.0,100786104.0,87417226.0,196.0,170.0,147.0,126.0,110.0,90.0,,,,,,,,,,,
2021-02-28,1424.0,1147.0,1423.0,1147.0,1257.0,1042.0,1312.0,1312.0,1312.0,1312.0,1105.0,1105.0,1424.0,1147.0,594.0,461.0,569.0,436.0,490.0,236.0,235.0,569.0,436.0,522.0,412.0,245.0,172.0,235.0,231.0,218.0,185513743.0,102037720.0,88209621.0,208.0,197.0,155.0,136.0,127.0,98.0,,,,,,,,,,,
2021-03-31,1519.0,1147.0,1440.0,1147.0,1273.0,1047.0,1312.0,1312.0,1312.0,1312.0,1105.0,1105.0,1519.0,1147.0,624.0,485.0,597.0,460.0,491.0,240.0,238.0,597.0,460.0,551.0,433.0,270.0,194.0,238.0,236.0,223.0,191365017.0,104337778.0,89671368.0,223.0,209.0,173.0,149.0,139.0,111.0,,,,,,,49.0,10400.0,2641.0,1913.0,5846.0
2021-04-30,1523.0,1147.0,1447.0,1147.0,1284.0,1048.0,1312.0,1312.0,1312.0,1312.0,1105.0,1105.0,1523.0,1147.0,663.0,510.0,629.0,482.0,491.0,248.0,245.0,629.0,482.0,583.0,453.0,298.0,213.0,245.0,239.0,228.0,197395973.0,115470417.0,91967551.0,246.0,218.0,195.0,163.0,147.0,126.0,,,,,,,52.0,11404.0,1987.0,2287.0,7130.0
2021-05-31,1538.0,1147.0,1458.0,1147.0,1298.0,1052.0,1312.0,1312.0,1312.0,1312.0,1105.0,1105.0,1538.0,1147.0,675.0,514.0,659.0,501.0,492.0,250.0,247.0,659.0,501.0,625.0,480.0,323.0,233.0,247.0,244.0,235.0,202256751.0,120465019.0,94069208.0,266.0,246.0,211.0,180.0,166.0,140.0,,,,,,,58.0,9978.0,2478.0,1710.0,5790.0
