mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,356.0,217.0,291.0,214.0,290.0,213.0,241.0,235.0,236.0,231.0,231.0,226.0,352.0,217.0,199.0,164.0,197.0,163.0,198.0,66.0,66.0,197.0,163.0,159.0,146.0,12.0,9.0,66.0,28.0,20.0,,,,5.0,2.0,1.0,,,,,,,,,,,,,,
2020-07-31,359.0,221.0,314.0,221.0,296.0,218.0,233.0,233.0,229.0,229.0,225.0,225.0,359.0,221.0,213.0,175.0,212.0,174.0,197.0,70.0,70.0,209.0,172.0,172.0,149.0,29.0,20.0,70.0,68.0,56.0,91408317.0,23386385.0,17726900.0,20.0,17.0,9.0,11.0,9.0,4.0,,,,,,,,,,,
2020-10-31,362.0,221.0,317.0,221.0,303.0,218.0,233.0,233.0,229.0,229.0,225.0,225.0,362.0,221.0,229.0,186.0,225.0,182.0,197.0,71.0,70.0,225.0,182.0,184.0,154.0,55.0,34.0,70.0,70.0,66.0,95000714.0,30991681.0,22515487.0,51.0,46.0,32.0,30.0,28.0,19.0,,,,,,,,,,,
2020-11-30,351.0,221.0,318.0,221.0,305.0,218.0,233.0,233.0,229.0,229.0,225.0,225.0,351.0,221.0,234.0,189.0,230.0,186.0,197.0,72.0,71.0,230.0,186.0,200.0,168.0,58.0,37.0,71.0,70.0,68.0,97410387.0,33250708.0,30209812.0,56.0,54.0,38.0,35.0,33.0,21.0,,,,,,,,,,,
2020-12-31,331.0,221.0,318.0,221.0,307.0,218.0,233.0,233.0,229.0,229.0,225.0,225.0,331.0,221.0,235.0,188.0,234.0,188.0,197.0,80.0,74.0,234.0,188.0,213.0,175.0,65.0,43.0,74.0,70.0,69.0,98860358.0,34911209.0,31754799.0,62.0,56.0,51.0,40.0,34.0,30.0,,,,,,,,,,,
2021-01-31,328.0,221.0,328.0,221.0,316.0,218.0,233.0,233.0,230.0,230.0,225.0,225.0,328.0,221.0,236.0,189.0,236.0,189.0,197.0,80.0,80.0,236.0,189.0,213.0,175.0,67.0,44.0,80.0,74.0,69.0,100168003.0,36467809.0,32429641.0,65.0,61.0,51.0,42.0,39.0,30.0,,,,,,,,,,,
2021-02-28,332.0,221.0,331.0,221.0,318.0,218.0,233.0,233.0,233.0,233.0,228.0,228.0,332.0,221.0,241.0,191.0,238.0,189.0,200.0,80.0,80.0,238.0,189.0,214.0,176.0,69.0,46.0,80.0,74.0,72.0,100563716.0,36467809.0,32429641.0,65.0,65.0,56.0,42.0,42.0,35.0,,,,,,,,,,,
2021-03-31,339.0,221.0,338.0,221.0,327.0,218.0,233.0,233.0,233.0,233.0,228.0,228.0,339.0,221.0,245.0,191.0,244.0,190.0,200.0,80.0,80.0,244.0,190.0,222.0,179.0,79.0,55.0,80.0,80.0,73.0,101405657.0,36688833.0,32619501.0,68.0,65.0,62.0,44.0,42.0,39.0,,,,,,,19.0,895.0,513.0,85.0,297.0
2021-04-30,347.0,221.0,342.0,221.0,332.0,218.0,233.0,233.0,233.0,233.0,228.0,228.0,347.0,221.0,253.0,198.0,251.0,196.0,201.0,80.0,80.0,251.0,196.0,229.0,182.0,87.0,61.0,80.0,80.0,79.0,103080042.0,40310820.0,33869757.0,77.0,70.0,67.0,50.0,45.0,44.0,,,,,,,20.0,1050.0,547.0,114.0,389.0
2021-05-31,352.0,221.0,346.0,221.0,334.0,218.0,233.0,233.0,233.0,233.0,229.0,229.0,352.0,221.0,262.0,199.0,260.0,198.0,201.0,83.0,83.0,260.0,198.0,230.0,181.0,100.0,68.0,83.0,80.0,79.0,105025331.0,45640107.0,39803183.0,85.0,78.0,71.0,54.0,51.0,46.0,,,,,,,26.0,1118.0,647.0,99.0,372.0
2021-06-30,371.0,221.0,349.0,221.0,339.0,218.0,233.0,233.0,233.0,233.0,229.0,229.0,371.0,221.0,264.0,199.0,264.0,199.0,201.0,87.0,86.0,264.0,199.0,237.0,181.0,106.0,72.0,86.0,83.0,79.0,105497234.0,48360609.0,41914155.0,88.0,86.0,76.0,56.0,54.0,50.0,,,,,,,29.0,1288.0,550.0,163.0,575.0
2021-07-31,383.0,221.0,368.0,221.0,354.0,218.0,233.0,233.0,233.0,233.0,229.0,229.0,383.0,221.0,276.0,203.0,271.0,202.0,201.0,90.0,89.0,271.0,202.0,239.0,181.0,116.0,80.0,89.0,83.0,80.0,106899393.0,53104019.0,43117156.0,96.0,92.0,90.0,61.0,59.0,57.0,,,,,,,30.0,1601.0,399.0,272.0,930.0
2021-08-31,398.0,221.0,374.0,221.0,356.0,218.0,233.0,233.0,233.0,233.0,229.0,229.0,398.0,221.0,291.0,203.0,280.0,203.0,201.0,93.0,91.0,280.0,203.0,239.0,181.0,123.0,86.0,91.0,87.0,80.0,108183663.0,55119249.0,43673028.0,100.0,97.0,93.0,64.0,62.0,60.0,,,,,,,30.0,1737.0,327.0,309.0,1101.0
2021-09-30,409.0,221.0,378.0,221.0,367.0,218.0,233.0,233.0,233.0,233.0,229.0,229.0,409.0,221.0,300.0,203.0,294.0,203.0,202.0,98.0,95.0,294.0,203.0,244.0,181.0,133.0,92.0,95.0,88.0,81.0,108913214.0,57246157.0,51298131.0,108.0,99.0,98.0,68.0,64.0,63.0,,,,,,,31.0,1866.0,336.0,339.0,1191.0
2021-10-31,414.0,221.0,386.0,221.0,372.0,218.0,233.0,233.0,233.0,233.0,229.0,229.0,414.0,221.0,308.0,203.0,304.0,203.0,202.0,102.0,101.0,304.0,203.0,253.0,181.0,143.0,99.0,101.0,93.0,83.0,109961049.0,59932500.0,53007688.0,115.0,107.0,105.0,72.0,67.0,65.0,,,,,,,34.0,2117.0,399.0,383.0,1335.0
2021-11-30,412.0,221.0,393.0,221.0,379.0,218.0,233.0,233.0,233.0,233.0,229.0,229.0,412.0,221.0,317.0,204.0,314.0,204.0,202.0,103.0,102.0,314.0,204.0,256.0,181.0,148.0,100.0,102.0,101.0,83.0,111232133.0,60625325.0,53060214.0,109.0,109.0,107.0,68.0,68.0,67.0,,,,,,,35.0,2351.0,413.0,443.0,1495.0
2021-12-31,412.0,221.0,396.0,221.0,386.0,219.0,233.0,233.0,233.0,233.0,229.0,229.0,412.0,221.0,328.0,208.0,326.0,207.0,202.0,106.0,105.0,323.0,206.0,262.0,181.0,166.0,116.0,105.0,102.0,86.0,114323165.0,64068247.0,,131.0,113.0,112.0,81.0,70.0,70.0,,,,,,,37.0,2589.0,443.0,512.0,1634.0
2022-01-31,415.0,221.0,401.0,221.0,391.0,219.0,233.0,233.0,233.0,233.0,229.0,229.0,415.0,221.0,334.0,209.0,331.0,208.0,203.0,107.0,106.0,331.0,208.0,266.0,181.0,173.0,120.0,106.0,102.0,89.0,115235949.0,64776433.0,54095797.0,132.0,128.0,116.0,81.0,79.0,71.0,,,,,,,39.0,2777.0,391.0,588.0,1798.0
2022-02-28,416.0,221.0,403.0,221.0,394.0,220.0,233.0,233.0,233.0,233.0,229.0,229.0,416.0,221.0,342.0,209.0,336.0,208.0,203.0,108.0,107.0,336.0,208.0,297.0,204.0,177.0,121.0,107.0,102.0,96.0,115725938.0,65856913.0,54556286.0,138.0,131.0,127.0,85.0,81.0,78.0,,,,,,,40.0,3011.0,396.0,682.0,1933.0
2022-03-31,416.0,221.0,405.0,221.0,394.0,221.0,233.0,233.0,233.0,233.0,229.0,229.0,416.0,221.0,343.0,209.0,339.0,208.0,203.0,108.0,108.0,339.0,208.0,313.0,207.0,191.0,131.0,108.0,108.0,103.0,116736490.0,68973887.0,58162218.0,143.0,139.0,133.0,87.0,85.0,82.0,,,,,,,43.0,3279.0,392.0,748.0,2139.0
2022-04-30,424.0,221.0,412.0,221.0,404.0,221.0,233.0,233.0,233.0,233.0,229.0,229.0,424.0,221.0,352.0,210.0,348.0,209.0,204.0,110.0,110.0,347.0,209.0,321.0,207.0,198.0,133.0,110.0,108.0,105.0,118283207.0,71129810.0,60316038.0,153.0,139.0,139.0,93.0,85.0,85.0,,,,,,,44.0,3672.0,487.0,832.0,2353.0
2022-05-31,425.0,221.0,410.0,221.0,404.0,221.0,233.0,233.0,233.0,233.0,229.0,229.0,425.0,221.0,364.0,211.0,361.0,210.0,204.0,113.0,112.0,361.0,210.0,330.0,208.0,212.0,142.0,111.0,110.0,107.0,119958937.0,72942204.0,61731862.0,160.0,152.0,139.0,96.0,92.0,85.0,,,,,,,43.0,4075.0,504.0,894.0,2677.0
2022-06-30,428.0,221.0,414.0,221.0,407.0,221.0,233.0,233.0,233.0,233.0,229.0,229.0,428.0,221.0,368.0,213.0,365.0,210.0,204.0,113.0,112.0,365.0,210.0,330.0,208.0,215.0,144.0,112.0,111.0,110.0,120312769.0,75051334.0,62153851.0,165.0,160.0,144.0,99.0,96.0,88.0,333366.0,16350.0,250256.0,,65283.0,331889.0,43.0,4343.0,505.0,961.0,2877.0
2022-07-31,433.0,221.0,419.0,221.0,409.0,221.0,233.0,233.0,233.0,233.0,229.0,229.0,433.0,221.0,374.0,214.0,372.0,213.0,204.0,114.0,112.0,372.0,213.0,342.0,208.0,235.0,154.0,112.0,112.0,110.0,122786256.0,78538264.0,64206752.0,173.0,162.0,158.0,104.0,97.0,95.0,333366.0,10403.0,247852.0,,74379.0,332634.0,43.0,4577.0,517.0,1014.0,3046.0
2022-08-31,436.0,221.0,425.0,221.0,416.0,221.0,233.0,233.0,233.0,233.0,229.0,229.0,436.0,221.0,379.0,213.0,374.0,213.0,204.0,113.0,113.0,373.0,213.0,345.0,209.0,242.0,155.0,113.0,112.0,111.0,122893443.0,84499354.0,68444842.0,182.0,166.0,158.0,107.0,99.0,95.0,333366.0,10403.0,247852.0,,74379.0,332634.0,43.0,4809.0,534.0,1062.0,3213.0
2022-09-30,438.0,221.0,427.0,221.0,422.0,221.0,233.0,233.0,233.0,233.0,229.0,229.0,438.0,221.0,384.0,213.0,382.0,213.0,204.0,115.0,114.0,382.0,213.0,362.0,210.0,255.0,163.0,114.0,113.0,112.0,123407922.0,87259486.0,70284181.0,193.0,179.0,164.0,113.0,105.0,98.0,333366.0,10403.0,242659.0,,79722.0,332784.0,44.0,5009.0,542.0,1113.0,3354.0
2022-10-31,441.0,221.0,428.0,221.0,423.0,221.0,233.0,233.0,233.0,233.0,229.0,229.0,441.0,221.0,388.0,214.0,383.0,213.0,204.0,119.0,115.0,383.0,213.0,369.0,212.0,262.0,166.0,115.0,113.0,112.0,123451385.0,88990437.0,71090902.0,197.0,189.0,173.0,114.0,110.0,100.0,333366.0,10403.0,240432.0,82024.0,332859.0,107015.0,45.0,5579.0,694.0,1201.0,3684.0
2022-11-30,442.0,221.0,431.0,221.0,424.0,221.0,233.0,233.0,233.0,233.0,229.0,229.0,442.0,221.0,391.0,214.0,388.0,214.0,204.0,119.0,118.0,391.0,214.0,373.0,213.0,269.0,167.0,117.0,114.0,112.0,124886205.0,90736710.0,73875836.0,208.0,197.0,187.0,121.0,114.0,109.0,333366.0,7692.0,230125.0,13073.0,94571.0,332388.0,45.0,6092.0,830.0,1314.0,3948.0
