mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,237.0,130.0,192.0,127.0,188.0,125.0,136.0,136.0,128.0,128.0,126.0,126.0,235.0,130.0,92.0,81.0,92.0,81.0,82.0,26.0,25.0,92.0,81.0,84.0,74.0,20.0,16.0,26.0,8.0,7.0,,,,2.0,,,,,,,,,,,,,,,,
2020-07-31,237.0,132.0,203.0,132.0,194.0,130.0,105.0,105.0,105.0,105.0,105.0,105.0,237.0,132.0,103.0,85.0,103.0,85.0,69.0,27.0,27.0,103.0,85.0,88.0,74.0,30.0,22.0,27.0,21.0,15.0,27352357.0,9858088.0,8869371.0,12.0,8.0,5.0,6.0,4.0,1.0,,,,,,,,,,,
2020-10-31,239.0,132.0,205.0,132.0,196.0,131.0,105.0,105.0,105.0,105.0,105.0,105.0,239.0,132.0,103.0,85.0,103.0,85.0,69.0,29.0,29.0,103.0,85.0,91.0,74.0,36.0,26.0,29.0,28.0,27.0,27401239.0,13345711.0,9884832.0,27.0,27.0,16.0,19.0,19.0,9.0,,,,,,,,,,,
2020-11-30,227.0,132.0,205.0,132.0,198.0,132.0,105.0,105.0,105.0,105.0,105.0,105.0,227.0,132.0,103.0,85.0,103.0,85.0,69.0,29.0,29.0,103.0,85.0,92.0,74.0,40.0,28.0,29.0,29.0,29.0,27401239.0,14943160.0,14080429.0,30.0,26.0,20.0,20.0,18.0,12.0,,,,,,,,,,,
2020-12-31,205.0,132.0,205.0,132.0,199.0,132.0,105.0,105.0,105.0,105.0,105.0,105.0,205.0,132.0,104.0,85.0,104.0,85.0,69.0,29.0,29.0,104.0,85.0,93.0,74.0,43.0,29.0,29.0,29.0,29.0,27468723.0,15697358.0,14892800.0,37.0,33.0,27.0,25.0,22.0,18.0,,,,,,,,,,,
2021-01-31,202.0,132.0,202.0,132.0,199.0,132.0,105.0,105.0,105.0,105.0,105.0,105.0,202.0,132.0,105.0,85.0,104.0,85.0,69.0,29.0,29.0,104.0,85.0,99.0,80.0,45.0,31.0,29.0,29.0,29.0,27468723.0,15697358.0,14892800.0,37.0,37.0,29.0,26.0,26.0,19.0,,,,,,,,,,,
2021-02-28,202.0,132.0,202.0,132.0,199.0,132.0,105.0,105.0,105.0,105.0,105.0,105.0,202.0,132.0,106.0,85.0,106.0,85.0,69.0,29.0,29.0,106.0,85.0,104.0,85.0,48.0,33.0,29.0,29.0,29.0,27618523.0,15939375.0,15117620.0,43.0,41.0,36.0,30.0,29.0,24.0,,,,,,,,,,,
2021-03-31,207.0,132.0,207.0,132.0,201.0,132.0,105.0,105.0,105.0,105.0,105.0,105.0,207.0,132.0,107.0,86.0,107.0,86.0,69.0,30.0,29.0,107.0,86.0,106.0,85.0,52.0,35.0,29.0,29.0,29.0,27813643.0,16513344.0,15682057.0,49.0,44.0,40.0,34.0,31.0,28.0,,,,,,,10.0,357.0,140.0,73.0,144.0
2021-04-30,211.0,132.0,208.0,132.0,201.0,132.0,105.0,105.0,105.0,105.0,105.0,105.0,211.0,132.0,108.0,87.0,107.0,86.0,69.0,30.0,30.0,107.0,86.0,107.0,86.0,58.0,41.0,30.0,29.0,29.0,27838084.0,16769974.0,15656809.0,51.0,50.0,45.0,36.0,35.0,32.0,,,,,,,10.0,394.0,123.0,85.0,186.0
2021-05-31,218.0,132.0,208.0,132.0,201.0,132.0,105.0,105.0,105.0,105.0,105.0,105.0,218.0,132.0,111.0,86.0,108.0,86.0,69.0,30.0,30.0,108.0,86.0,107.0,86.0,62.0,45.0,30.0,30.0,30.0,27968275.0,17132375.0,16300457.0,54.0,53.0,49.0,39.0,38.0,34.0,,,,,,,11.0,366.0,125.0,68.0,173.0
