mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,1458.0,1109.0,1265.0,1054.0,1216.0,1010.0,1211.0,1206.0,1156.0,1151.0,1138.0,1133.0,1452.0,1109.0,487.0,375.0,481.0,374.0,556.0,152.0,152.0,481.0,374.0,397.0,333.0,88.0,75.0,152.0,141.0,132.0,,,,7.0,3.0,3.0,,,,,,,,,,,,,,
2020-07-31,1487.0,1115.0,1366.0,1115.0,1296.0,1052.0,1183.0,1183.0,1139.0,1139.0,1135.0,1135.0,1487.0,1115.0,518.0,388.0,513.0,385.0,539.0,160.0,160.0,512.0,384.0,479.0,364.0,122.0,95.0,160.0,156.0,148.0,121825893.0,52589818.0,36923327.0,37.0,30.0,8.0,21.0,15.0,4.0,,,,,,,,,,,
2020-10-31,1497.0,1115.0,1376.0,1115.0,1329.0,1077.0,1183.0,1183.0,1139.0,1139.0,1137.0,1137.0,1497.0,1115.0,560.0,409.0,554.0,404.0,540.0,168.0,167.0,554.0,404.0,506.0,375.0,190.0,147.0,167.0,161.0,156.0,127415728.0,70655764.0,45457355.0,118.0,95.0,56.0,80.0,64.0,33.0,,,,,,,,,,,
2020-11-30,1443.0,1115.0,1383.0,1115.0,1339.0,1080.0,1183.0,1183.0,1139.0,1139.0,1137.0,1137.0,1443.0,1115.0,577.0,419.0,561.0,407.0,540.0,176.0,172.0,561.0,407.0,517.0,379.0,213.0,159.0,172.0,164.0,159.0,128564354.0,75273680.0,63768975.0,138.0,121.0,75.0,92.0,82.0,48.0,,,,,,,,,,,
2020-12-31,1413.0,1115.0,1386.0,1115.0,1342.0,1080.0,1183.0,1183.0,1139.0,1139.0,1137.0,1137.0,1413.0,1115.0,588.0,427.0,568.0,411.0,540.0,192.0,178.0,568.0,411.0,531.0,387.0,252.0,171.0,178.0,166.0,161.0,129474754.0,78206871.0,65664845.0,167.0,136.0,118.0,112.0,91.0,79.0,,,,,,,,,,,
2021-01-31,1401.0,1115.0,1401.0,1115.0,1349.0,1082.0,1183.0,1183.0,1183.0,1183.0,1137.0,1137.0,1401.0,1115.0,591.0,429.0,579.0,418.0,540.0,194.0,189.0,579.0,418.0,549.0,402.0,271.0,184.0,188.0,171.0,162.0,131428361.0,82952365.0,67351011.0,186.0,162.0,127.0,121.0,109.0,86.0,,,,,,,,,,,
2021-02-28,1433.0,1115.0,1415.0,1115.0,1360.0,1082.0,1183.0,1183.0,1183.0,1183.0,1145.0,1145.0,1433.0,1115.0,612.0,436.0,595.0,426.0,542.0,197.0,194.0,594.0,426.0,565.0,408.0,290.0,198.0,194.0,180.0,164.0,135760190.0,84132618.0,68711369.0,204.0,186.0,137.0,129.0,121.0,94.0,,,,,,,,,,,
2021-03-31,1443.0,1115.0,1435.0,1115.0,1383.0,1082.0,1183.0,1183.0,1183.0,1183.0,1150.0,1150.0,1443.0,1115.0,634.0,450.0,620.0,438.0,543.0,206.0,200.0,618.0,436.0,592.0,422.0,322.0,215.0,200.0,193.0,173.0,138752809.0,89927847.0,70820501.0,225.0,207.0,174.0,141.0,131.0,113.0,,,,,,,35.0,1867.0,808.0,285.0,774.0
2021-04-30,1460.0,1115.0,1450.0,1115.0,1395.0,1082.0,1183.0,1183.0,1183.0,1183.0,1158.0,1158.0,1460.0,1115.0,663.0,465.0,642.0,448.0,547.0,217.0,212.0,642.0,448.0,612.0,433.0,344.0,234.0,210.0,198.0,182.0,142222099.0,95889534.0,72555809.0,240.0,224.0,192.0,152.0,142.0,120.0,,,,,,,38.0,2149.0,709.0,378.0,1062.0
2021-05-31,1491.0,1115.0,1470.0,1115.0,1401.0,1082.0,1183.0,1183.0,1183.0,1183.0,1158.0,1158.0,1491.0,1115.0,705.0,494.0,660.0,459.0,548.0,231.0,214.0,660.0,459.0,646.0,451.0,384.0,253.0,212.0,202.0,190.0,144676814.0,98576669.0,75546061.0,269.0,241.0,212.0,176.0,154.0,133.0,,,,,,,42.0,2489.0,994.0,368.0,1127.0
