mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,228.0,228.0,134.0,134.0,95.0,95.0,253.0,253.0,239.0,239.0,179.0,179.0,228.0,228.0,3.0,3.0,0.0,,140.0,2.0,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
2020-07-31,223.0,223.0,223.0,223.0,115.0,115.0,253.0,253.0,253.0,253.0,67.0,67.0,223.0,223.0,3.0,3.0,2.0,2.0,53.0,6.0,6.0,2.0,2.0,2.0,2.0,,,6.0,4.0,3.0,351004.0,95040.0,,,,,,,,,,,,,,,,,,
2020-10-31,223.0,223.0,223.0,223.0,159.0,159.0,253.0,253.0,253.0,253.0,73.0,73.0,223.0,223.0,16.0,16.0,5.0,5.0,60.0,12.0,6.0,5.0,5.0,5.0,5.0,1.0,1.0,6.0,6.0,6.0,499257.0,148852.0,42394.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
2020-11-30,223.0,223.0,223.0,223.0,159.0,159.0,253.0,253.0,253.0,253.0,73.0,73.0,223.0,223.0,18.0,18.0,9.0,9.0,60.0,13.0,7.0,9.0,9.0,9.0,9.0,1.0,1.0,7.0,6.0,6.0,667876.0,243892.0,232474.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
2020-12-31,223.0,223.0,223.0,223.0,159.0,159.0,253.0,253.0,253.0,253.0,85.0,85.0,223.0,223.0,20.0,20.0,13.0,13.0,71.0,19.0,13.0,9.0,9.0,9.0,9.0,4.0,4.0,7.0,7.0,7.0,667876.0,349270.0,337062.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,
2021-01-31,223.0,223.0,223.0,223.0,185.0,185.0,253.0,253.0,253.0,253.0,87.0,87.0,223.0,223.0,35.0,35.0,16.0,16.0,72.0,20.0,13.0,16.0,16.0,16.0,16.0,6.0,6.0,13.0,11.0,7.0,1296079.0,548218.0,521005.0,6.0,1.0,1.0,6.0,1.0,1.0,,,,,,,,,,,
2021-02-28,223.0,223.0,223.0,223.0,185.0,185.0,253.0,253.0,253.0,253.0,90.0,90.0,223.0,223.0,38.0,38.0,31.0,31.0,76.0,24.0,20.0,31.0,31.0,22.0,22.0,10.0,10.0,20.0,17.0,12.0,2534218.0,773159.0,671762.0,10.0,5.0,1.0,10.0,5.0,1.0,,,,,,,,,,,
2021-03-31,223.0,223.0,223.0,223.0,185.0,185.0,253.0,253.0,253.0,253.0,90.0,90.0,223.0,223.0,42.0,42.0,40.0,40.0,76.0,27.0,24.0,39.0,39.0,37.0,37.0,15.0,15.0,22.0,21.0,18.0,3267381.0,1233792.0,1110187.0,11.0,8.0,3.0,11.0,8.0,3.0,,,,,,,,,,,
2021-04-30,223.0,223.0,223.0,223.0,185.0,185.0,253.0,253.0,253.0,253.0,90.0,90.0,223.0,223.0,49.0,49.0,40.0,40.0,76.0,29.0,24.0,40.0,40.0,39.0,39.0,20.0,20.0,24.0,22.0,20.0,3459213.0,1818847.0,1545718.0,16.0,11.0,6.0,16.0,11.0,6.0,,,,,,,,,,,
2021-05-31,224.0,223.0,224.0,223.0,185.0,185.0,253.0,253.0,253.0,253.0,92.0,92.0,224.0,223.0,54.0,54.0,47.0,47.0,76.0,30.0,28.0,46.0,46.0,42.0,42.0,30.0,30.0,28.0,24.0,21.0,3987936.0,2735827.0,2201368.0,24.0,16.0,14.0,24.0,16.0,14.0,,,,,,,,,,,
2021-06-30,224.0,223.0,224.0,223.0,189.0,188.0,253.0,253.0,253.0,253.0,98.0,98.0,224.0,223.0,54.0,54.0,54.0,54.0,82.0,34.0,29.0,54.0,54.0,50.0,50.0,32.0,32.0,29.0,29.0,23.0,4364761.0,2892481.0,2343427.0,23.0,20.0,20.0,23.0,20.0,20.0,,,,,,,,,,,
2021-07-31,224.0,223.0,224.0,223.0,195.0,194.0,253.0,253.0,253.0,253.0,99.0,99.0,224.0,223.0,70.0,70.0,56.0,56.0,83.0,41.0,29.0,56.0,56.0,55.0,55.0,40.0,40.0,29.0,29.0,25.0,4444241.0,3841499.0,2846655.0,29.0,25.0,24.0,29.0,25.0,24.0,,,,,,,1.0,1.0,1.0,0.0,0.0
2021-08-31,224.0,223.0,224.0,223.0,197.0,196.0,253.0,253.0,253.0,253.0,252.0,252.0,224.0,223.0,67.0,67.0,60.0,60.0,143.0,43.0,38.0,60.0,60.0,56.0,56.0,45.0,45.0,38.0,29.0,25.0,5208526.0,4075335.0,2983460.0,36.0,29.0,24.0,36.0,29.0,24.0,,,,,,,2.0,3.0,2.0,0.0,1.0
2021-09-30,224.0,223.0,224.0,223.0,204.0,203.0,253.0,253.0,253.0,253.0,252.0,252.0,224.0,223.0,75.0,75.0,68.0,68.0,143.0,46.0,44.0,68.0,68.0,66.0,66.0,50.0,50.0,44.0,40.0,27.0,6067379.0,4493108.0,3360997.0,41.0,34.0,31.0,41.0,34.0,31.0,,,,,,,3.0,5.0,4.0,,1.0
2021-10-31,224.0,223.0,224.0,223.0,209.0,208.0,253.0,253.0,253.0,253.0,252.0,252.0,224.0,223.0,81.0,81.0,74.0,74.0,143.0,53.0,45.0,73.0,73.0,73.0,73.0,60.0,60.0,45.0,44.0,31.0,6560969.0,4916924.0,3874695.0,45.0,39.0,35.0,45.0,39.0,35.0,,,,,,,3.0,6.0,1.0,1.0,4.0
2021-11-30,224.0,223.0,224.0,223.0,211.0,210.0,253.0,253.0,253.0,253.0,252.0,252.0,224.0,223.0,84.0,84.0,78.0,78.0,143.0,55.0,46.0,78.0,78.0,75.0,75.0,61.0,61.0,45.0,44.0,34.0,7193133.0,5691631.0,4439407.0,51.0,47.0,42.0,51.0,47.0,42.0,,,,,,,4.0,8.0,1.0,1.0,6.0
2021-12-31,224.0,223.0,224.0,223.0,211.0,210.0,253.0,253.0,253.0,253.0,252.0,252.0,224.0,223.0,101.0,101.0,84.0,84.0,143.0,70.0,56.0,84.0,84.0,84.0,84.0,73.0,73.0,56.0,45.0,43.0,8012922.0,6975290.0,,58.0,56.0,55.0,58.0,56.0,55.0,,,,,,,4.0,10.0,2.0,1.0,7.0
2022-01-31,224.0,223.0,224.0,223.0,212.0,211.0,253.0,253.0,253.0,253.0,252.0,252.0,224.0,223.0,104.0,104.0,87.0,87.0,143.0,71.0,69.0,87.0,87.0,84.0,84.0,77.0,77.0,66.0,55.0,44.0,8593439.0,7537823.0,5608894.0,63.0,61.0,59.0,63.0,61.0,59.0,,,,,,,5.0,11.0,2.0,1.0,8.0
2022-02-28,224.0,223.0,224.0,223.0,213.0,212.0,253.0,253.0,253.0,253.0,252.0,252.0,224.0,223.0,116.0,116.0,91.0,91.0,143.0,76.0,70.0,91.0,91.0,91.0,91.0,82.0,82.0,69.0,67.0,52.0,9161296.0,8084919.0,6071257.0,67.0,64.0,63.0,67.0,64.0,63.0,,,,,,,7.0,17.0,5.0,4.0,8.0
2022-03-31,224.0,223.0,224.0,223.0,214.0,213.0,253.0,253.0,253.0,253.0,252.0,252.0,224.0,223.0,108.0,108.0,96.0,96.0,143.0,77.0,71.0,96.0,96.0,94.0,94.0,87.0,87.0,69.0,69.0,64.0,9743805.0,9301459.0,6957219.0,70.0,66.0,66.0,70.0,66.0,66.0,,,,,,,7.0,20.0,6.0,4.0,10.0
2022-04-30,225.0,223.0,224.0,223.0,214.0,213.0,253.0,253.0,253.0,253.0,252.0,252.0,225.0,223.0,113.0,113.0,101.0,101.0,143.0,82.0,72.0,100.0,100.0,99.0,99.0,87.0,87.0,72.0,69.0,66.0,10005619.0,10177684.0,7643473.0,77.0,71.0,68.0,77.0,71.0,68.0,,,,,,,8.0,25.0,4.0,5.0,16.0
2022-05-31,225.0,223.0,224.0,223.0,215.0,214.0,253.0,253.0,253.0,253.0,252.0,252.0,225.0,223.0,118.0,118.0,107.0,107.0,143.0,85.0,74.0,107.0,107.0,104.0,104.0,92.0,92.0,74.0,72.0,69.0,11015609.0,11082387.0,8374310.0,85.0,79.0,71.0,85.0,79.0,71.0,,,,,,,8.0,30.0,7.0,6.0,17.0
2022-06-30,225.0,223.0,224.0,223.0,215.0,214.0,253.0,253.0,253.0,253.0,252.0,252.0,225.0,223.0,119.0,119.0,111.0,111.0,143.0,86.0,83.0,111.0,111.0,107.0,107.0,98.0,98.0,83.0,79.0,71.0,11619252.0,11793539.0,8791428.0,87.0,82.0,76.0,87.0,82.0,76.0,65483.0,50511.0,7852.0,,8181.0,66544.0,9.0,32.0,3.0,6.0,23.0
2022-07-31,225.0,223.0,225.0,223.0,217.0,216.0,253.0,253.0,253.0,253.0,252.0,252.0,225.0,223.0,144.0,144.0,114.0,114.0,143.0,92.0,83.0,113.0,113.0,112.0,112.0,103.0,103.0,83.0,83.0,75.0,11991122.0,12489565.0,9513525.0,88.0,82.0,77.0,88.0,82.0,77.0,65483.0,50194.0,8095.0,,8270.0,66559.0,8.0,32.0,3.0,6.0,23.0
2022-08-31,225.0,223.0,225.0,223.0,218.0,217.0,253.0,253.0,253.0,253.0,252.0,252.0,225.0,223.0,135.0,135.0,124.0,124.0,143.0,94.0,83.0,123.0,123.0,114.0,114.0,108.0,108.0,83.0,83.0,79.0,13270949.0,13431491.0,10014533.0,94.0,84.0,82.0,94.0,84.0,82.0,65483.0,48771.0,9043.0,,8795.0,66609.0,8.0,34.0,1.0,7.0,26.0
2022-09-30,226.0,223.0,225.0,223.0,222.0,220.0,253.0,253.0,253.0,253.0,252.0,252.0,226.0,223.0,151.0,151.0,135.0,135.0,143.0,94.0,84.0,135.0,135.0,132.0,132.0,113.0,113.0,83.0,83.0,82.0,15432984.0,14512972.0,11217534.0,102.0,92.0,84.0,102.0,92.0,84.0,65483.0,45086.0,12706.0,,9172.0,66964.0,8.0,41.0,6.0,7.0,28.0
