mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,200.0,199.0,93.0,93.0,83.0,83.0,303.0,303.0,300.0,300.0,113.0,113.0,200.0,199.0,4.0,4.0,1.0,1.0,214.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,122.0,0.0,,,,,,,,,,,,,,,,,,,,
2020-07-31,136.0,135.0,135.0,135.0,122.0,122.0,298.0,298.0,298.0,298.0,247.0,247.0,136.0,135.0,4.0,4.0,4.0,4.0,207.0,21.0,21.0,2.0,2.0,,,,,21.0,0.0,0.0,706326.0,,,,,,,,,,,,,,,,,,,
2020-10-31,136.0,135.0,135.0,135.0,128.0,128.0,298.0,298.0,298.0,298.0,248.0,248.0,136.0,135.0,9.0,9.0,7.0,7.0,208.0,27.0,26.0,6.0,6.0,2.0,2.0,,,25.0,22.0,10.0,998244.0,156750.0,,,,,,,,,,,,,,,,,,
2020-11-30,136.0,135.0,135.0,135.0,128.0,128.0,298.0,298.0,298.0,298.0,248.0,248.0,136.0,135.0,10.0,10.0,7.0,7.0,208.0,36.0,31.0,7.0,7.0,2.0,2.0,,,31.0,25.0,13.0,1221713.0,407550.0,407550.0,,,,,,,,,,,,,,,,,
2020-12-31,136.0,135.0,135.0,135.0,128.0,128.0,298.0,298.0,298.0,298.0,251.0,251.0,136.0,135.0,14.0,14.0,8.0,8.0,211.0,45.0,39.0,8.0,8.0,4.0,4.0,3.0,3.0,39.0,25.0,13.0,1508900.0,501600.0,407550.0,,,,,,,,,,,,,,,,,
2021-01-31,135.0,135.0,135.0,135.0,129.0,129.0,298.0,298.0,298.0,298.0,251.0,251.0,135.0,135.0,18.0,18.0,11.0,11.0,211.0,55.0,46.0,11.0,11.0,7.0,7.0,4.0,4.0,46.0,34.0,19.0,2037844.0,543416.0,431490.0,1.0,,,1.0,,,,,,,,,,,,,
2021-02-28,135.0,135.0,135.0,135.0,129.0,129.0,298.0,298.0,298.0,298.0,251.0,251.0,135.0,135.0,22.0,22.0,15.0,15.0,211.0,68.0,66.0,15.0,15.0,8.0,8.0,6.0,6.0,64.0,39.0,29.0,2731471.0,623089.0,499758.0,4.0,3.0,1.0,4.0,3.0,1.0,,,,,,,,,,,
2021-03-31,135.0,135.0,135.0,135.0,129.0,129.0,298.0,298.0,298.0,298.0,251.0,251.0,135.0,135.0,34.0,34.0,19.0,19.0,211.0,71.0,70.0,18.0,18.0,14.0,14.0,8.0,8.0,70.0,49.0,29.0,3179185.0,810841.0,681471.0,8.0,7.0,6.0,8.0,7.0,6.0,,,,,,,,,,,
2021-04-30,135.0,135.0,135.0,135.0,129.0,129.0,298.0,298.0,298.0,298.0,251.0,251.0,135.0,135.0,39.0,39.0,25.0,25.0,211.0,77.0,72.0,25.0,25.0,16.0,16.0,11.0,11.0,71.0,69.0,43.0,3841823.0,898771.0,738453.0,10.0,8.0,8.0,10.0,8.0,8.0,,,,,,,,,,,
2021-05-31,135.0,135.0,135.0,135.0,130.0,130.0,298.0,298.0,298.0,298.0,251.0,251.0,135.0,135.0,41.0,41.0,40.0,40.0,211.0,80.0,72.0,38.0,38.0,23.0,23.0,15.0,15.0,72.0,71.0,60.0,5450118.0,1896088.0,888237.0,13.0,11.0,10.0,13.0,11.0,10.0,,,,,,,,,,,
