mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,524.0,306.0,421.0,264.0,402.0,264.0,390.0,390.0,359.0,359.0,334.0,334.0,512.0,306.0,298.0,201.0,295.0,201.0,290.0,123.0,122.0,295.0,201.0,277.0,191.0,140.0,88.0,123.0,122.0,113.0,,,,43.0,27.0,8.0,,,,,,,,,,,,,,
2020-07-31,532.0,318.0,491.0,318.0,422.0,276.0,314.0,314.0,312.0,312.0,312.0,312.0,532.0,318.0,319.0,202.0,317.0,202.0,255.0,130.0,130.0,317.0,202.0,311.0,201.0,156.0,95.0,128.0,127.0,120.0,92277513.0,70032389.0,54247179.0,127.0,114.0,57.0,72.0,61.0,27.0,,,,,,,,,,,
2020-10-31,534.0,318.0,492.0,318.0,423.0,276.0,314.0,314.0,312.0,312.0,312.0,312.0,534.0,318.0,327.0,203.0,326.0,203.0,255.0,135.0,130.0,325.0,202.0,324.0,202.0,209.0,122.0,130.0,130.0,129.0,93046553.0,75612041.0,60000008.0,184.0,172.0,120.0,105.0,99.0,65.0,,,,,,,,,,,
2020-11-30,520.0,318.0,492.0,318.0,423.0,276.0,314.0,314.0,312.0,312.0,312.0,312.0,520.0,318.0,330.0,206.0,327.0,203.0,255.0,136.0,135.0,327.0,203.0,326.0,202.0,223.0,132.0,135.0,135.0,130.0,93368688.0,79618780.0,68216597.0,197.0,183.0,145.0,113.0,104.0,82.0,,,,,,,,,,,
2020-12-31,505.0,318.0,498.0,318.0,430.0,276.0,314.0,314.0,312.0,312.0,312.0,312.0,505.0,318.0,334.0,205.0,332.0,205.0,255.0,138.0,136.0,332.0,205.0,327.0,202.0,235.0,139.0,135.0,135.0,132.0,93819112.0,81654165.0,70011390.0,214.0,198.0,179.0,123.0,112.0,107.0,,,,,,,,,,,
2021-01-31,498.0,318.0,496.0,318.0,431.0,276.0,314.0,314.0,314.0,314.0,312.0,312.0,498.0,318.0,341.0,208.0,337.0,205.0,255.0,138.0,138.0,337.0,205.0,334.0,205.0,240.0,142.0,136.0,136.0,135.0,94549460.0,82539985.0,70491078.0,220.0,211.0,193.0,128.0,122.0,112.0,,,,,,,,,,,
2021-02-28,505.0,318.0,501.0,318.0,432.0,276.0,314.0,314.0,314.0,314.0,314.0,314.0,505.0,318.0,343.0,208.0,342.0,207.0,256.0,138.0,138.0,342.0,207.0,340.0,206.0,250.0,149.0,138.0,138.0,138.0,95337368.0,83636842.0,71687936.0,231.0,220.0,204.0,135.0,129.0,117.0,,,,,,,,,,,
2021-03-31,507.0,318.0,504.0,318.0,438.0,276.0,314.0,314.0,314.0,314.0,314.0,314.0,507.0,318.0,346.0,210.0,344.0,208.0,257.0,142.0,142.0,344.0,208.0,343.0,208.0,262.0,156.0,142.0,141.0,138.0,95822598.0,85381856.0,72509527.0,240.0,232.0,216.0,142.0,137.0,127.0,,,,,,,27.0,3017.0,654.0,673.0,1690.0
2021-04-30,513.0,318.0,508.0,318.0,441.0,276.0,314.0,314.0,314.0,314.0,314.0,314.0,513.0,318.0,343.0,211.0,342.0,210.0,257.0,145.0,143.0,342.0,210.0,341.0,210.0,272.0,163.0,143.0,143.0,141.0,95738847.0,89344955.0,73480063.0,250.0,241.0,233.0,149.0,144.0,138.0,,,,,,,29.0,3228.0,442.0,756.0,2030.0
2021-05-31,521.0,318.0,513.0,318.0,445.0,277.0,314.0,314.0,314.0,314.0,314.0,314.0,521.0,318.0,349.0,214.0,347.0,213.0,257.0,147.0,146.0,347.0,213.0,342.0,210.0,281.0,171.0,146.0,144.0,143.0,96885029.0,91853902.0,76193836.0,257.0,252.0,241.0,154.0,152.0,144.0,,,,,,,35.0,2392.0,551.0,460.0,1381.0
