mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,369.0,206.0,293.0,189.0,276.0,185.0,268.0,268.0,268.0,268.0,258.0,258.0,365.0,206.0,155.0,106.0,148.0,105.0,338.0,95.0,64.0,148.0,105.0,137.0,102.0,41.0,28.0,95.0,64.0,60.0,,,,11.0,4.0,3.0,,,,,,,,,,,,,,
2020-07-31,374.0,210.0,327.0,210.0,298.0,193.0,252.0,252.0,252.0,252.0,247.0,247.0,374.0,210.0,174.0,114.0,171.0,111.0,321.0,96.0,96.0,168.0,108.0,150.0,103.0,54.0,34.0,96.0,64.0,63.0,91741420.0,41525627.0,35515733.0,35.0,23.0,16.0,19.0,13.0,9.0,,,,,,,,,,,
2020-10-31,377.0,210.0,329.0,210.0,301.0,193.0,252.0,252.0,252.0,252.0,248.0,248.0,377.0,210.0,175.0,112.0,174.0,112.0,322.0,103.0,96.0,171.0,109.0,164.0,107.0,65.0,41.0,96.0,94.0,72.0,92062358.0,42715045.0,36071424.0,50.0,39.0,24.0,29.0,21.0,13.0,,,,,,,,,,,
2020-11-30,353.0,210.0,331.0,210.0,301.0,193.0,252.0,252.0,252.0,252.0,248.0,248.0,353.0,210.0,184.0,119.0,174.0,112.0,322.0,108.0,97.0,171.0,109.0,168.0,107.0,71.0,45.0,97.0,95.0,74.0,92112487.0,49569736.0,44294692.0,61.0,44.0,33.0,37.0,26.0,18.0,,,,,,,,,,,
2020-12-31,339.0,210.0,331.0,210.0,302.0,193.0,252.0,252.0,252.0,252.0,248.0,248.0,339.0,210.0,194.0,128.0,181.0,117.0,322.0,121.0,100.0,177.0,113.0,169.0,108.0,75.0,47.0,100.0,95.0,74.0,93330629.0,50846316.0,44837578.0,67.0,41.0,39.0,40.0,32.0,23.0,,,,,,,,,,,
2021-01-31,328.0,210.0,327.0,210.0,302.0,193.0,252.0,252.0,252.0,252.0,248.0,248.0,328.0,210.0,198.0,131.0,193.0,126.0,322.0,125.0,100.0,189.0,122.0,172.0,109.0,76.0,47.0,100.0,97.0,76.0,97819533.0,51421888.0,45196903.0,63.0,45.0,39.0,37.0,28.0,23.0,,,,,,,,,,,
2021-02-28,329.0,210.0,327.0,210.0,302.0,193.0,252.0,252.0,252.0,252.0,248.0,248.0,329.0,210.0,199.0,131.0,195.0,128.0,322.0,123.0,101.0,192.0,125.0,176.0,112.0,78.0,48.0,101.0,97.0,76.0,98888478.0,51708494.0,45472545.0,63.0,51.0,43.0,37.0,32.0,25.0,,,,,,,,,,,
2021-03-31,332.0,210.0,329.0,210.0,302.0,193.0,252.0,252.0,252.0,252.0,248.0,248.0,332.0,210.0,199.0,131.0,197.0,130.0,322.0,123.0,101.0,194.0,127.0,185.0,121.0,86.0,52.0,101.0,97.0,76.0,99972801.0,53804695.0,47200856.0,73.0,52.0,48.0,41.0,32.0,29.0,,,,,,,28.0,904.0,356.0,180.0,368.0
2021-04-30,335.0,210.0,330.0,210.0,303.0,193.0,252.0,252.0,252.0,252.0,248.0,248.0,335.0,210.0,203.0,134.0,197.0,130.0,322.0,127.0,106.0,194.0,127.0,192.0,127.0,92.0,55.0,102.0,98.0,79.0,99940445.0,55368719.0,48531040.0,79.0,63.0,52.0,46.0,39.0,32.0,,,,,,,30.0,1045.0,365.0,227.0,453.0
2021-05-31,342.0,210.0,332.0,210.0,304.0,193.0,252.0,252.0,252.0,252.0,248.0,248.0,342.0,210.0,202.0,133.0,198.0,130.0,322.0,129.0,122.0,195.0,127.0,193.0,127.0,97.0,58.0,109.0,101.0,87.0,100427278.0,56565835.0,49434221.0,75.0,66.0,55.0,43.0,40.0,33.0,,,,,,,32.0,1010.0,477.0,167.0,366.0
2021-06-30,346.0,210.0,337.0,210.0,305.0,193.0,252.0,252.0,252.0,252.0,248.0,248.0,346.0,210.0,205.0,132.0,201.0,131.0,322.0,133.0,125.0,198.0,128.0,194.0,127.0,99.0,60.0,122.0,104.0,88.0,102896774.0,58191952.0,50790734.0,81.0,67.0,63.0,48.0,41.0,37.0,,,,,,,34.0,1178.0,386.0,255.0,537.0
2021-07-31,357.0,210.0,339.0,210.0,307.0,194.0,252.0,252.0,252.0,252.0,248.0,248.0,357.0,210.0,214.0,142.0,203.0,132.0,322.0,138.0,125.0,200.0,129.0,195.0,128.0,105.0,66.0,124.0,108.0,89.0,103661380.0,60456270.0,53754145.0,86.0,74.0,63.0,53.0,45.0,37.0,,,,,,,34.0,1676.0,319.0,438.0,919.0
2021-08-31,372.0,210.0,348.0,210.0,314.0,194.0,252.0,252.0,252.0,252.0,248.0,248.0,372.0,210.0,221.0,144.0,206.0,134.0,322.0,141.0,141.0,203.0,131.0,196.0,128.0,105.0,66.0,138.0,114.0,91.0,105309213.0,61011815.0,54072313.0,89.0,80.0,67.0,54.0,49.0,40.0,,,,,,,38.0,1855.0,295.0,510.0,1050.0
2021-09-30,376.0,210.0,350.0,210.0,324.0,195.0,252.0,252.0,252.0,252.0,248.0,248.0,376.0,210.0,230.0,148.0,216.0,139.0,322.0,145.0,141.0,213.0,136.0,197.0,128.0,109.0,68.0,140.0,123.0,93.0,110615235.0,60410224.0,54705603.0,96.0,85.0,72.0,59.0,52.0,43.0,,,,,,,39.0,2034.0,335.0,559.0,1140.0
2021-10-31,377.0,210.0,353.0,210.0,329.0,198.0,252.0,252.0,252.0,252.0,248.0,248.0,377.0,210.0,241.0,153.0,225.0,142.0,322.0,145.0,145.0,222.0,139.0,200.0,129.0,117.0,74.0,143.0,136.0,102.0,113029044.0,61018892.0,54988828.0,96.0,89.0,79.0,58.0,55.0,49.0,,,,,,,42.0,2430.0,498.0,626.0,1306.0
2021-11-30,378.0,210.0,355.0,210.0,331.0,198.0,252.0,252.0,252.0,252.0,248.0,248.0,378.0,210.0,242.0,151.0,234.0,147.0,322.0,147.0,147.0,230.0,144.0,203.0,129.0,118.0,75.0,146.0,138.0,102.0,116736804.0,61850880.0,55637577.0,97.0,91.0,85.0,60.0,57.0,52.0,,,,,,,46.0,2815.0,676.0,699.0,1440.0
2021-12-31,379.0,210.0,359.0,210.0,334.0,200.0,252.0,252.0,252.0,252.0,248.0,248.0,379.0,210.0,252.0,158.0,238.0,149.0,323.0,153.0,147.0,235.0,146.0,204.0,130.0,129.0,82.0,146.0,141.0,104.0,120542752.0,63223696.0,,98.0,95.0,94.0,61.0,60.0,59.0,,,,,,,46.0,3199.0,862.0,820.0,1517.0
2022-01-31,381.0,210.0,361.0,210.0,334.0,200.0,252.0,252.0,252.0,252.0,248.0,248.0,381.0,210.0,257.0,161.0,242.0,150.0,323.0,154.0,148.0,238.0,147.0,209.0,132.0,136.0,86.0,146.0,142.0,117.0,121832079.0,65127412.0,57840657.0,109.0,99.0,96.0,67.0,63.0,61.0,,,,,,,46.0,3483.0,975.0,901.0,1607.0
2022-02-28,383.0,210.0,363.0,210.0,345.0,204.0,252.0,252.0,252.0,252.0,248.0,248.0,383.0,210.0,269.0,172.0,251.0,155.0,323.0,154.0,148.0,248.0,152.0,212.0,132.0,137.0,87.0,148.0,143.0,132.0,125634017.0,66596669.0,58967121.0,112.0,106.0,99.0,70.0,66.0,63.0,,,,,,,46.0,3879.0,1091.0,1031.0,1757.0
2022-03-31,384.0,210.0,363.0,210.0,342.0,205.0,252.0,252.0,252.0,252.0,248.0,248.0,384.0,210.0,271.0,170.0,259.0,159.0,323.0,157.0,151.0,256.0,156.0,219.0,132.0,141.0,90.0,148.0,145.0,136.0,131575565.0,69869530.0,62992464.0,118.0,111.0,106.0,75.0,70.0,67.0,,,,,,,51.0,4356.0,1158.0,1169.0,2029.0
2022-04-30,385.0,210.0,367.0,210.0,345.0,206.0,252.0,252.0,252.0,252.0,248.0,248.0,385.0,210.0,275.0,173.0,263.0,163.0,323.0,157.0,153.0,259.0,159.0,220.0,132.0,142.0,90.0,153.0,145.0,136.0,133271535.0,71774909.0,64712144.0,124.0,116.0,109.0,78.0,74.0,69.0,,,,,,,52.0,4941.0,1264.0,1313.0,2364.0
2022-05-31,388.0,210.0,367.0,210.0,346.0,206.0,252.0,252.0,252.0,252.0,248.0,248.0,388.0,210.0,284.0,179.0,269.0,167.0,323.0,159.0,156.0,266.0,164.0,232.0,136.0,144.0,91.0,156.0,146.0,137.0,139440213.0,72733500.0,65208717.0,126.0,119.0,114.0,79.0,76.0,73.0,,,,,,,55.0,5469.0,1257.0,1464.0,2748.0
2022-06-30,403.0,210.0,374.0,210.0,352.0,207.0,252.0,252.0,252.0,252.0,248.0,248.0,403.0,210.0,302.0,191.0,278.0,173.0,325.0,163.0,160.0,275.0,170.0,240.0,143.0,148.0,94.0,158.0,151.0,137.0,145905833.0,74322204.0,66320590.0,129.0,121.0,117.0,83.0,77.0,74.0,380511.0,69607.0,192789.0,,73853.0,336249.0,57.0,5845.0,1141.0,1620.0,3084.0
2022-07-31,415.0,210.0,380.0,210.0,353.0,207.0,252.0,252.0,252.0,252.0,248.0,248.0,415.0,210.0,309.0,192.0,286.0,181.0,325.0,163.0,160.0,282.0,177.0,247.0,149.0,154.0,96.0,158.0,152.0,143.0,149811816.0,76664436.0,68732370.0,134.0,127.0,121.0,85.0,81.0,77.0,380511.0,60951.0,193095.0,,79197.0,333243.0,58.0,6187.0,986.0,1803.0,3398.0
