mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,316.0,213.0,267.0,212.0,250.0,196.0,219.0,217.0,215.0,214.0,131.0,131.0,316.0,213.0,93.0,63.0,76.0,47.0,103.0,18.0,17.0,76.0,47.0,61.0,40.0,24.0,11.0,18.0,9.0,7.0,,,,6.0,,,,,,,,,,,,,,,,
2020-07-31,329.0,214.0,299.0,213.0,270.0,204.0,212.0,212.0,209.0,209.0,199.0,199.0,329.0,214.0,133.0,79.0,114.0,70.0,95.0,26.0,22.0,114.0,70.0,67.0,45.0,28.0,14.0,22.0,14.0,10.0,21588396.0,6685239.0,3346201.0,25.0,9.0,9.0,11.0,3.0,3.0,,,,,,,,,,,
2020-10-31,334.0,214.0,308.0,213.0,284.0,204.0,212.0,212.0,209.0,209.0,207.0,207.0,334.0,214.0,156.0,91.0,152.0,87.0,102.0,35.0,24.0,152.0,87.0,96.0,58.0,52.0,24.0,24.0,22.0,18.0,27126345.0,9622024.0,5234372.0,43.0,13.0,9.0,17.0,4.0,3.0,,,,,,,,,,,
2020-11-30,322.0,214.0,311.0,213.0,289.0,204.0,212.0,212.0,209.0,209.0,207.0,207.0,322.0,214.0,170.0,99.0,168.0,99.0,102.0,36.0,34.0,168.0,99.0,103.0,63.0,59.0,26.0,34.0,23.0,22.0,29428620.0,10279462.0,8938004.0,54.0,24.0,15.0,23.0,10.0,6.0,,,,,,,,,,,
2020-12-31,317.0,214.0,311.0,213.0,289.0,204.0,212.0,212.0,209.0,209.0,207.0,207.0,317.0,214.0,175.0,103.0,168.0,99.0,102.0,37.0,34.0,168.0,99.0,132.0,90.0,67.0,30.0,34.0,29.0,23.0,29428620.0,10750215.0,9212577.0,60.0,24.0,22.0,26.0,10.0,10.0,,,,,,,,,,,
2021-01-31,309.0,214.0,307.0,213.0,290.0,204.0,212.0,212.0,210.0,210.0,207.0,207.0,309.0,214.0,176.0,103.0,174.0,102.0,102.0,38.0,36.0,174.0,102.0,138.0,94.0,67.0,30.0,36.0,31.0,26.0,30080524.0,10800932.0,9212577.0,60.0,24.0,22.0,26.0,10.0,10.0,,,,,,,,,,,
2021-02-28,319.0,214.0,309.0,213.0,294.0,205.0,212.0,212.0,212.0,212.0,210.0,210.0,319.0,214.0,178.0,104.0,176.0,103.0,103.0,39.0,37.0,176.0,103.0,169.0,97.0,68.0,31.0,37.0,36.0,26.0,30270756.0,11251557.0,9212577.0,60.0,30.0,22.0,26.0,13.0,10.0,,,,,,,,,,,
2021-03-31,323.0,214.0,312.0,213.0,300.0,206.0,212.0,212.0,212.0,212.0,210.0,210.0,323.0,214.0,196.0,117.0,180.0,105.0,103.0,41.0,39.0,180.0,105.0,171.0,99.0,72.0,32.0,39.0,37.0,26.0,30661024.0,11980766.0,9705479.0,66.0,31.0,28.0,28.0,13.0,13.0,,,,,,,17.0,478.0,153.0,113.0,212.0
2021-04-30,323.0,214.0,313.0,213.0,300.0,206.0,212.0,212.0,212.0,212.0,210.0,210.0,323.0,214.0,202.0,122.0,187.0,110.0,103.0,42.0,41.0,181.0,105.0,175.0,101.0,73.0,33.0,39.0,38.0,33.0,30693090.0,12221043.0,9858968.0,69.0,39.0,30.0,30.0,17.0,13.0,,,,,,,19.0,558.0,169.0,129.0,260.0
2021-05-31,326.0,214.0,314.0,213.0,300.0,206.0,212.0,212.0,212.0,212.0,210.0,210.0,326.0,214.0,208.0,126.0,187.0,110.0,103.0,43.0,41.0,187.0,110.0,180.0,104.0,77.0,36.0,41.0,41.0,38.0,31754943.0,12904330.0,9858968.0,69.0,47.0,32.0,30.0,21.0,14.0,,,,,,,22.0,517.0,205.0,99.0,213.0
2021-06-30,326.0,214.0,318.0,213.0,303.0,206.0,212.0,212.0,212.0,212.0,210.0,210.0,326.0,214.0,215.0,126.0,203.0,119.0,103.0,44.0,42.0,203.0,119.0,189.0,112.0,85.0,40.0,42.0,41.0,38.0,33229959.0,15231681.0,12437799.0,75.0,57.0,32.0,34.0,25.0,14.0,,,,,,,28.0,593.0,204.0,122.0,267.0
2021-07-31,326.0,214.0,319.0,213.0,307.0,206.0,212.0,212.0,212.0,212.0,210.0,210.0,326.0,214.0,226.0,134.0,217.0,129.0,103.0,52.0,46.0,217.0,129.0,208.0,124.0,96.0,48.0,46.0,42.0,41.0,35373828.0,16210582.0,13457669.0,86.0,57.0,32.0,38.0,25.0,14.0,,,,,,,29.0,848.0,165.0,208.0,475.0
