mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,163.0,77.0,136.0,75.0,135.0,75.0,96.0,91.0,95.0,90.0,91.0,86.0,162.0,77.0,115.0,74.0,115.0,74.0,129.0,51.0,50.0,115.0,74.0,107.0,74.0,25.0,14.0,51.0,30.0,25.0,,,,14.0,12.0,8.0,,,,,,,,,,,,,,
2020-07-31,163.0,78.0,142.0,78.0,137.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,163.0,78.0,115.0,74.0,115.0,74.0,125.0,53.0,53.0,115.0,74.0,113.0,74.0,31.0,17.0,53.0,45.0,28.0,59815176.0,30523914.0,24557156.0,31.0,30.0,19.0,17.0,16.0,10.0,,,,,,,,,,,
2020-10-31,163.0,78.0,142.0,78.0,137.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,163.0,78.0,119.0,74.0,119.0,74.0,125.0,54.0,53.0,119.0,74.0,116.0,74.0,46.0,24.0,53.0,53.0,46.0,60356016.0,32934484.0,25977440.0,40.0,40.0,29.0,20.0,20.0,14.0,,,,,,,,,,,
2020-11-30,163.0,78.0,142.0,78.0,137.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,163.0,78.0,119.0,74.0,119.0,74.0,125.0,54.0,54.0,119.0,74.0,116.0,74.0,53.0,29.0,54.0,53.0,52.0,60399478.0,36807759.0,35429153.0,47.0,45.0,40.0,25.0,23.0,20.0,,,,,,,,,,,
2020-12-31,154.0,78.0,144.0,78.0,137.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,154.0,78.0,119.0,74.0,119.0,74.0,125.0,58.0,55.0,119.0,74.0,118.0,74.0,65.0,33.0,55.0,54.0,52.0,60156844.0,38099641.0,36564101.0,58.0,48.0,45.0,30.0,24.0,23.0,,,,,,,,,,,
2021-01-31,146.0,78.0,146.0,78.0,142.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,146.0,78.0,119.0,74.0,119.0,74.0,125.0,58.0,58.0,119.0,74.0,118.0,74.0,65.0,33.0,58.0,55.0,53.0,60287232.0,38565263.0,36890570.0,60.0,58.0,45.0,31.0,30.0,23.0,,,,,,,,,,,
2021-02-28,146.0,78.0,146.0,78.0,142.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,146.0,78.0,120.0,74.0,120.0,74.0,126.0,60.0,60.0,120.0,74.0,118.0,74.0,66.0,33.0,60.0,55.0,53.0,60569026.0,38972135.0,37163073.0,62.0,61.0,50.0,32.0,31.0,24.0,,,,,,,,,,,
2021-03-31,148.0,78.0,148.0,78.0,143.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,148.0,78.0,123.0,74.0,123.0,74.0,126.0,60.0,60.0,123.0,74.0,119.0,74.0,71.0,37.0,60.0,58.0,53.0,60940619.0,39209327.0,37396439.0,65.0,63.0,61.0,34.0,33.0,31.0,,,,,,,21.0,1962.0,477.0,388.0,1097.0
2021-04-30,150.0,78.0,149.0,78.0,145.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,150.0,78.0,124.0,74.0,124.0,74.0,126.0,61.0,61.0,124.0,74.0,121.0,74.0,75.0,39.0,61.0,60.0,57.0,61002458.0,40340703.0,38127338.0,69.0,65.0,63.0,36.0,34.0,33.0,,,,,,,21.0,2065.0,404.0,453.0,1208.0
2021-05-31,150.0,78.0,150.0,78.0,145.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,150.0,78.0,125.0,74.0,124.0,74.0,127.0,61.0,61.0,124.0,74.0,122.0,74.0,77.0,40.0,61.0,60.0,58.0,61002458.0,42001930.0,39587645.0,72.0,69.0,65.0,38.0,36.0,34.0,,,,,,,52.0,15909.0,464.0,4432.0,11013.0
2021-06-30,153.0,78.0,150.0,78.0,146.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,153.0,78.0,125.0,74.0,125.0,74.0,127.0,63.0,63.0,125.0,74.0,123.0,74.0,79.0,41.0,63.0,61.0,59.0,61093401.0,43547471.0,39992202.0,72.0,72.0,69.0,38.0,38.0,36.0,,,,,,,53.0,16034.0,404.0,4515.0,11115.0
2021-07-31,154.0,78.0,154.0,78.0,150.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,154.0,78.0,125.0,74.0,125.0,74.0,127.0,63.0,63.0,125.0,74.0,124.0,74.0,83.0,45.0,63.0,62.0,59.0,61093401.0,46058380.0,41075262.0,75.0,74.0,72.0,40.0,39.0,38.0,,,,,,,29.0,2517.0,278.0,654.0,1585.0
2021-08-31,159.0,78.0,154.0,78.0,150.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,159.0,78.0,128.0,74.0,125.0,74.0,127.0,63.0,63.0,125.0,74.0,124.0,74.0,84.0,46.0,63.0,62.0,59.0,61093401.0,47049172.0,41263061.0,76.0,75.0,72.0,41.0,40.0,38.0,,,,,,,29.0,2655.0,243.0,705.0,1707.0
2021-09-30,164.0,78.0,156.0,78.0,152.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,164.0,78.0,130.0,74.0,130.0,74.0,127.0,63.0,63.0,130.0,74.0,125.0,74.0,88.0,49.0,63.0,62.0,59.0,61905037.0,47975596.0,43544453.0,78.0,76.0,75.0,42.0,41.0,40.0,,,,,,,31.0,2779.0,261.0,744.0,1774.0
2021-10-31,164.0,78.0,158.0,78.0,153.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,164.0,78.0,131.0,74.0,131.0,74.0,127.0,64.0,63.0,131.0,74.0,125.0,74.0,90.0,51.0,63.0,62.0,59.0,61977643.0,48853659.0,43922388.0,78.0,78.0,76.0,42.0,42.0,41.0,,,,,,,33.0,2975.0,309.0,803.0,1863.0
2021-11-30,164.0,78.0,160.0,78.0,155.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,164.0,78.0,134.0,74.0,134.0,74.0,127.0,66.0,65.0,134.0,74.0,126.0,74.0,91.0,51.0,64.0,62.0,59.0,62615773.0,49621779.0,44140561.0,79.0,79.0,77.0,43.0,43.0,41.0,,,,,,,32.0,3224.0,378.0,881.0,1965.0
2021-12-31,164.0,78.0,162.0,78.0,158.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,164.0,78.0,138.0,75.0,134.0,74.0,128.0,71.0,70.0,134.0,74.0,130.0,74.0,96.0,55.0,68.0,63.0,59.0,62789623.0,51620299.0,,83.0,79.0,79.0,45.0,43.0,43.0,,,,,,,33.0,3448.0,423.0,946.0,2079.0
2022-01-31,164.0,78.0,162.0,78.0,158.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,164.0,78.0,139.0,74.0,135.0,74.0,128.0,71.0,71.0,138.0,74.0,130.0,74.0,99.0,56.0,71.0,64.0,59.0,63181188.0,51078056.0,45392133.0,85.0,81.0,79.0,46.0,44.0,43.0,,,,,,,33.0,3643.0,447.0,1014.0,2182.0
2022-02-28,165.0,78.0,163.0,78.0,159.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,165.0,78.0,139.0,74.0,139.0,74.0,128.0,71.0,71.0,139.0,74.0,130.0,74.0,100.0,56.0,71.0,64.0,60.0,63231236.0,51318787.0,45717525.0,87.0,85.0,81.0,47.0,46.0,44.0,,,,,,,34.0,3888.0,484.0,1109.0,2295.0
2022-03-31,163.0,78.0,161.0,78.0,157.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,163.0,78.0,141.0,74.0,139.0,74.0,128.0,71.0,71.0,139.0,74.0,133.0,74.0,104.0,58.0,71.0,69.0,64.0,63006596.0,52934750.0,47583329.0,90.0,85.0,85.0,49.0,46.0,46.0,,,,,,,37.0,4175.0,514.0,1196.0,2465.0
2022-04-30,163.0,78.0,161.0,78.0,157.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,163.0,78.0,141.0,74.0,141.0,74.0,129.0,73.0,73.0,141.0,74.0,134.0,74.0,105.0,59.0,72.0,71.0,67.0,63309128.0,54322277.0,47668111.0,87.0,87.0,85.0,47.0,47.0,46.0,,,,,,,39.0,4473.0,487.0,1304.0,2682.0
2022-05-31,163.0,78.0,160.0,78.0,156.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,163.0,78.0,142.0,74.0,142.0,74.0,129.0,74.0,73.0,142.0,74.0,140.0,74.0,107.0,60.0,73.0,71.0,68.0,63480769.0,54719747.0,48195203.0,89.0,87.0,87.0,48.0,47.0,47.0,,,,,,,39.0,4749.0,410.0,1427.0,2912.0
2022-06-30,164.0,78.0,161.0,78.0,156.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,164.0,78.0,143.0,74.0,143.0,74.0,129.0,74.0,74.0,143.0,74.0,140.0,74.0,115.0,63.0,74.0,72.0,69.0,63587179.0,55288740.0,49156068.0,101.0,91.0,87.0,52.0,49.0,47.0,115332.0,7628.0,62744.0,,44926.0,115298.0,42.0,5030.0,404.0,1507.0,3119.0
2022-07-31,165.0,78.0,161.0,78.0,156.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,165.0,78.0,143.0,74.0,143.0,74.0,129.0,76.0,76.0,143.0,74.0,140.0,74.0,119.0,64.0,76.0,74.0,70.0,63674104.0,56355785.0,50203979.0,107.0,101.0,89.0,55.0,52.0,48.0,115332.0,7628.0,61390.0,,46305.0,115323.0,43.0,5301.0,429.0,1590.0,3282.0
2022-08-31,166.0,78.0,163.0,78.0,159.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,166.0,78.0,144.0,74.0,143.0,74.0,129.0,78.0,78.0,143.0,74.0,141.0,74.0,121.0,64.0,78.0,76.0,70.0,63761029.0,56821111.0,51454146.0,111.0,103.0,92.0,57.0,53.0,49.0,115332.0,7628.0,60148.0,,47619.0,115395.0,43.0,5494.0,375.0,1660.0,3459.0
2022-09-30,166.0,78.0,164.0,78.0,161.0,77.0,87.0,87.0,87.0,87.0,85.0,85.0,166.0,78.0,147.0,74.0,145.0,74.0,129.0,80.0,78.0,146.0,74.0,142.0,74.0,126.0,66.0,78.0,76.0,74.0,64204036.0,57180227.0,52015698.0,113.0,110.0,99.0,58.0,56.0,51.0,115332.0,7628.0,55371.0,,52492.0,115491.0,43.0,5765.0,464.0,1725.0,3576.0
2022-10-31,166.0,78.0,164.0,78.0,163.0,78.0,87.0,87.0,87.0,87.0,85.0,85.0,166.0,78.0,149.0,75.0,146.0,74.0,129.0,82.0,79.0,147.0,74.0,142.0,74.0,127.0,66.0,79.0,78.0,77.0,64716628.0,57596931.0,52102623.0,112.0,112.0,107.0,57.0,57.0,54.0,115332.0,7628.0,51136.0,56779.0,115543.0,65165.0,43.0,6114.0,489.0,1832.0,3793.0
2022-11-30,166.0,78.0,164.0,78.0,164.0,78.0,87.0,87.0,87.0,87.0,85.0,85.0,166.0,78.0,149.0,74.0,148.0,74.0,129.0,82.0,80.0,150.0,74.0,145.0,74.0,132.0,69.0,80.0,78.0,77.0,64760091.0,58508074.0,53142179.0,117.0,113.0,110.0,59.0,57.0,55.0,115332.0,7628.0,49643.0,5871.0,58326.0,115597.0,43.0,6411.0,507.0,1930.0,3974.0
2022-12-31,164.0,78.0,162.0,78.0,162.0,78.0,86.0,87.0,86.0,87.0,84.0,85.0,164.0,78.0,153.0,77.0,153.0,77.0,127.0,88.0,81.0,155.0,77.0,148.0,75.0,135.0,71.0,81.0,79.0,78.0,66628345.0,59511171.0,53489852.0,125.0,118.0,114.0,63.0,60.0,58.0,115332.0,694.0,39280.0,7917.0,63517.0,111408.0,44.0,6988.0,463.0,2129.0,4396.0
2023-01-31,166.0,78.0,163.0,78.0,162.0,78.0,86.0,87.0,86.0,87.0,84.0,85.0,166.0,78.0,153.0,77.0,153.0,77.0,129.0,90.0,88.0,155.0,77.0,152.0,77.0,135.0,71.0,86.0,80.0,79.0,66845658.0,60745478.0,53620240.0,125.0,122.0,114.0,64.0,62.0,58.0,115332.0,694.0,36092.0,11105.0,66222.0,114113.0,44.0,6988.0,463.0,2129.0,4396.0
2023-02-28,169.0,78.0,163.0,78.0,163.0,78.0,86.0,87.0,86.0,87.0,84.0,85.0,169.0,78.0,155.0,77.0,155.0,77.0,129.0,89.0,89.0,158.0,77.0,153.0,77.0,136.0,72.0,89.0,85.0,81.0,67497807.0,61918610.0,53707166.0,126.0,126.0,119.0,64.0,64.0,60.0,115332.0,694.0,36092.0,9193.0,69587.0,115566.0,46.0,7345.0,555.0,2210.0,4580.0
2023-03-31,169.0,78.0,164.0,78.0,164.0,78.0,86.0,87.0,86.0,87.0,84.0,85.0,169.0,78.0,155.0,77.0,155.0,77.0,131.0,91.0,89.0,158.0,77.0,155.0,77.0,140.0,72.0,89.0,88.0,84.0,67497807.0,64806636.0,56039187.0,131.0,126.0,124.0,67.0,64.0,63.0,115332.0,694.0,29360.0,8565.0,77196.0,115815.0,47.0,8056.0,561.0,2396.0,5099.0
