mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,106.0,68.0,92.0,68.0,92.0,68.0,76.0,73.0,76.0,73.0,76.0,73.0,106.0,68.0,47.0,36.0,44.0,33.0,44.0,12.0,11.0,44.0,33.0,32.0,22.0,14.0,8.0,12.0,9.0,8.0,,,,3.0,2.0,2.0,,,,,,,,,,,,,,
2020-07-31,106.0,68.0,95.0,68.0,94.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,106.0,68.0,49.0,37.0,48.0,36.0,43.0,14.0,14.0,47.0,36.0,39.0,28.0,18.0,10.0,14.0,14.0,10.0,8587306.0,2998889.0,2711469.0,14.0,14.0,6.0,7.0,7.0,3.0,,,,,,,,,,,
2020-10-31,110.0,68.0,96.0,68.0,95.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,110.0,68.0,55.0,37.0,55.0,37.0,43.0,15.0,15.0,55.0,37.0,45.0,32.0,23.0,14.0,15.0,15.0,13.0,9549277.0,3766149.0,3249628.0,20.0,18.0,15.0,11.0,10.0,8.0,,,,,,,,,,,
2020-11-30,106.0,68.0,96.0,68.0,95.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,106.0,68.0,55.0,37.0,55.0,37.0,44.0,15.0,15.0,55.0,37.0,47.0,34.0,23.0,14.0,15.0,15.0,15.0,9549278.0,4124550.0,4017357.0,18.0,16.0,16.0,9.0,8.0,8.0,,,,,,,,,,,
2020-12-31,102.0,68.0,96.0,68.0,95.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,102.0,68.0,55.0,37.0,55.0,37.0,44.0,16.0,16.0,55.0,37.0,50.0,36.0,25.0,15.0,16.0,15.0,15.0,9589527.0,4124550.0,4017357.0,20.0,19.0,17.0,11.0,11.0,9.0,,,,,,,,,,,
2021-01-31,98.0,68.0,95.0,68.0,95.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,98.0,68.0,55.0,37.0,55.0,37.0,44.0,16.0,16.0,55.0,37.0,51.0,37.0,25.0,15.0,16.0,16.0,16.0,9589527.0,4572767.0,4110865.0,21.0,19.0,19.0,12.0,10.0,10.0,,,,,,,,,,,
2021-02-28,98.0,68.0,96.0,68.0,95.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,98.0,68.0,56.0,37.0,55.0,37.0,45.0,16.0,16.0,55.0,37.0,51.0,37.0,25.0,15.0,16.0,16.0,16.0,9589527.0,4546708.0,4301473.0,24.0,22.0,19.0,14.0,13.0,10.0,,,,,,,,,,,
2021-03-31,98.0,68.0,96.0,68.0,95.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,98.0,68.0,56.0,38.0,55.0,37.0,45.0,17.0,17.0,55.0,37.0,51.0,37.0,25.0,15.0,17.0,16.0,16.0,9629776.0,4728379.0,4301473.0,24.0,24.0,20.0,14.0,14.0,11.0,,,,,,,15.0,217.0,86.0,40.0,91.0
2021-04-30,98.0,68.0,96.0,68.0,96.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,98.0,68.0,56.0,38.0,56.0,38.0,45.0,21.0,21.0,56.0,38.0,51.0,37.0,27.0,17.0,18.0,17.0,16.0,9862155.0,4824559.0,4301473.0,24.0,24.0,21.0,14.0,14.0,12.0,,,,,,,15.0,232.0,84.0,46.0,102.0
2021-05-31,101.0,68.0,97.0,68.0,96.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,101.0,68.0,56.0,38.0,56.0,38.0,45.0,22.0,21.0,56.0,38.0,52.0,38.0,29.0,19.0,21.0,18.0,17.0,9982903.0,4824559.0,4301473.0,23.0,23.0,22.0,13.0,13.0,12.0,,,,,,,18.0,213.0,123.0,30.0,60.0
2021-06-30,108.0,68.0,99.0,68.0,96.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,108.0,68.0,56.0,38.0,56.0,38.0,45.0,24.0,21.0,56.0,38.0,52.0,38.0,29.0,19.0,21.0,21.0,17.0,9982903.0,4980937.0,4580743.0,23.0,23.0,22.0,13.0,13.0,12.0,,,,,,,18.0,259.0,150.0,38.0,71.0
