mese,Progettazione definitiva FTTH-Progetti previsti,Progettazione definitiva FTTH-Comuni previsti,Progettazione definitiva FTTH-Progetti consegnati,Progettazione definitiva FTTH-Comuni con progetti consegnati,Progettazione definitiva FTTH-Progetti approvati,Progettazione definitiva FTTH-Comuni con progetti approvati,Progettazione definitiva FWA-Progetti previsti,Progettazione definitiva FWA-Comuni previsti,Progettazione definitiva FWA-Progetti consegnati,Progettazione definitiva FWA-Comuni con progetti consegnati,Progettazione definitiva FWA-Progetti approvati,Progettazione definitiva FWA-Comuni con progetti approvati,Progettazione esecutiva FTTH-Progetti previsti,Progettazione esecutiva FTTH-Comuni previsti,Progettazione esecutiva FTTH-Progetti consegnati,Progettazione esecutiva FTTH-Comuni con progetti consegnati,Progettazione esecutiva FTTH-Progetti approvati,Progettazione esecutiva FTTH-Comuni con progetti approvati,Progettazione esecutiva FWA-Progetti previsti,Progettazione esecutiva FWA-Comuni previsti,Progettazione esecutiva FWA-Progetti approvati,Esecuzione dei cantieri FTTH-Ordini emessi,Esecuzione dei cantieri FTTH-Comuni con ordine,Esecuzione dei cantieri FTTH-Cantieri aperti,Esecuzione dei cantieri FTTH-Comuni avviati,Esecuzione dei cantieri FTTH-Cantieri con CUIR,Esecuzione dei cantieri FTTH-Comuni completati,Esecuzione dei cantieri FWA-Ordini emessi,Esecuzione dei cantieri FWA-Cantieri aperti,Esecuzione dei cantieri FWA-Cantieri con CUIR,Esecuzione dei cantieri rendicontazione-Valore cantieri avviati,Esecuzione dei cantieri rendicontazione-Avanzamento lavori,Esecuzione dei cantieri rendicontazione-Lavori Contabilizzati da DL,Collaudo FTTH-Impianti collaudabili,Collaudo FTTH-Impianti complessivamente collaudati in campo,Collaudo FTTH-Collaudi positivi,Collaudo FWA-Impianti collaudabili,Collaudo FWA-Impianti complessivamente collaudati in campo,Collaudo FWA-Siti collaudati positivamente,Unita immobiliari-Pianificate,Unita immobiliari-Progettazione esecutiva,Unita immobiliari-In lavorazione,Unita immobiliari-In collaudo,Unita immobiliari-Collaudate,Unita immobiliari-Totale,Avvio dei servizi-Quantita OLO Presenti,Avvio dei servizi-Ordini complessivi,Avvio dei servizi-Ordini in lavorazione,Avvio dei servizi-Ordini KO,Avvio dei servizi-Ordini OK
2020-04-30,779.0,444.0,597.0,438.0,590.0,435.0,580.0,579.0,580.0,579.0,536.0,535.0,770.0,444.0,343.0,259.0,335.0,254.0,300.0,140.0,137.0,335.0,254.0,219.0,183.0,77.0,58.0,140.0,82.0,69.0,,,,13.0,10.0,3.0,,,,,,,,,,,,,,
2020-07-31,785.0,453.0,639.0,453.0,622.0,452.0,540.0,540.0,540.0,540.0,509.0,509.0,785.0,453.0,378.0,276.0,378.0,276.0,286.0,153.0,151.0,378.0,276.0,268.0,189.0,100.0,72.0,149.0,87.0,84.0,151842797.0,55700470.0,36582108.0,43.0,34.0,23.0,23.0,17.0,12.0,,,,,,,,,,,
2020-10-31,788.0,453.0,645.0,453.0,628.0,452.0,540.0,540.0,540.0,540.0,509.0,509.0,788.0,453.0,407.0,287.0,400.0,281.0,286.0,160.0,154.0,400.0,281.0,295.0,198.0,141.0,90.0,154.0,112.0,102.0,156408881.0,67360487.0,45173719.0,95.0,72.0,52.0,54.0,41.0,27.0,,,,,,,,,,,
2020-11-30,745.0,453.0,647.0,453.0,629.0,452.0,540.0,540.0,540.0,540.0,509.0,509.0,745.0,453.0,416.0,290.0,409.0,286.0,286.0,163.0,162.0,409.0,286.0,304.0,203.0,154.0,96.0,162.0,114.0,107.0,160691141.0,69991306.0,61840504.0,115.0,92.0,67.0,66.0,52.0,37.0,,,,,,,,,,,
2020-12-31,694.0,453.0,650.0,453.0,632.0,452.0,540.0,540.0,540.0,540.0,509.0,509.0,694.0,453.0,433.0,304.0,422.0,294.0,286.0,169.0,166.0,422.0,294.0,314.0,213.0,165.0,100.0,166.0,137.0,127.0,168055576.0,73292817.0,64964399.0,126.0,97.0,88.0,74.0,58.0,50.0,,,,,,,,,,,
2021-01-31,674.0,453.0,674.0,453.0,644.0,452.0,540.0,540.0,540.0,540.0,509.0,509.0,674.0,453.0,435.0,306.0,431.0,302.0,286.0,169.0,169.0,431.0,302.0,362.0,261.0,170.0,103.0,169.0,145.0,135.0,170810362.0,74826160.0,65792560.0,142.0,127.0,94.0,85.0,74.0,53.0,,,,,,,,,,,
2021-02-28,693.0,453.0,677.0,453.0,652.0,452.0,540.0,540.0,540.0,540.0,509.0,509.0,693.0,453.0,445.0,307.0,438.0,305.0,286.0,172.0,170.0,438.0,305.0,387.0,279.0,174.0,104.0,170.0,161.0,142.0,171741823.0,78502454.0,66314003.0,150.0,139.0,112.0,90.0,83.0,63.0,,,,,,,,,,,
2021-03-31,718.0,453.0,685.0,453.0,662.0,452.0,540.0,540.0,540.0,540.0,510.0,510.0,718.0,453.0,453.0,313.0,451.0,311.0,287.0,173.0,173.0,451.0,311.0,411.0,300.0,185.0,112.0,173.0,167.0,144.0,174775623.0,80814594.0,67043659.0,158.0,154.0,137.0,96.0,93.0,79.0,,,,,,,39.0,3805.0,1950.0,579.0,1276.0
2021-04-30,747.0,453.0,689.0,453.0,665.0,452.0,540.0,540.0,540.0,540.0,510.0,510.0,747.0,453.0,464.0,316.0,459.0,314.0,287.0,174.0,174.0,459.0,314.0,428.0,308.0,203.0,123.0,174.0,172.0,151.0,176874462.0,88410154.0,70389027.0,175.0,156.0,147.0,104.0,95.0,87.0,,,,,,,41.0,4231.0,1757.0,742.0,1732.0
2021-05-31,763.0,453.0,697.0,453.0,671.0,452.0,540.0,540.0,540.0,540.0,510.0,510.0,763.0,453.0,485.0,326.0,475.0,318.0,287.0,176.0,174.0,475.0,318.0,440.0,312.0,218.0,133.0,174.0,173.0,157.0,179229260.0,97709325.0,71434424.0,191.0,183.0,159.0,114.0,109.0,96.0,,,,,,,46.0,4331.0,2088.0,658.0,1585.0
